acc:0.0786660777385159,best_acc:0
acc:0.16086572438162544,best_acc:0.0786660777385159
acc:0.22663427561837457,best_acc:0.16086572438162544
acc:0.24218197879858655,best_acc:0.22663427561837457
acc:0.2651943462897527,best_acc:0.24218197879858655
acc:0.25746466431095405,best_acc:0.2651943462897527
acc:0.24938162544169612,best_acc:0.2651943462897527
acc:0.23573321554770318,best_acc:0.2651943462897527
acc:0.24293286219081273,best_acc:0.2651943462897527
acc:0.23630742049469966,best_acc:0.2651943462897527
acc:0.23197879858657244,best_acc:0.2651943462897527
acc:0.23511484098939928,best_acc:0.2651943462897527
acc:0.2478356890459364,best_acc:0.2651943462897527
acc:0.24787985865724382,best_acc:0.2651943462897527
acc:0.23807420494699644,best_acc:0.2651943462897527
acc:0.24063604240282685,best_acc:0.2651943462897527
acc:0.23489399293286217,best_acc:0.2651943462897527
acc:0.2435512367491166,best_acc:0.2651943462897527
acc:0.2416077738515901,best_acc:0.2651943462897527
acc:0.24712897526501768,best_acc:0.2651943462897527
acc:0.24571554770318021,best_acc:0.2651943462897527
acc:0.26015901060070673,best_acc:0.2651943462897527
acc:0.24938162544169612,best_acc:0.2651943462897527
acc:0.24907243816254415,best_acc:0.2651943462897527
acc:0.23670494699646644,best_acc:0.2651943462897527
acc:0.2522968197879859,best_acc:0.2651943462897527
acc:0.25145759717314486,best_acc:0.2651943462897527
acc:0.2548586572438163,best_acc:0.2651943462897527
acc:0.24452296819787986,best_acc:0.2651943462897527
acc:0.2443462897526502,best_acc:0.2651943462897527
acc:0.2584805653710247,best_acc:0.2651943462897527
acc:0.2534452296819788,best_acc:0.2651943462897527
acc:0.24072438162544169,best_acc:0.2651943462897527
TEST:  acc:0.27009164610504055
