acc:0.08558238636363637,best_acc:0
acc:0.19744318181818182,best_acc:0.08558238636363637
acc:0.3249289772727273,best_acc:0.19744318181818182
acc:0.36221590909090906,best_acc:0.3249289772727273
acc:0.37748579545454547,best_acc:0.36221590909090906
acc:0.38671875,best_acc:0.37748579545454547
acc:0.3888494318181818,best_acc:0.38671875
acc:0.38778409090909094,best_acc:0.3888494318181818
acc:0.38565340909090906,best_acc:0.3888494318181818
acc:0.38174715909090906,best_acc:0.3888494318181818
acc:0.38778409090909094,best_acc:0.3888494318181818
acc:0.3742897727272727,best_acc:0.3888494318181818
acc:0.37393465909090906,best_acc:0.3888494318181818
acc:0.3821022727272727,best_acc:0.3888494318181818
acc:0.3828125,best_acc:0.3888494318181818
acc:0.3764204545454546,best_acc:0.3888494318181818
acc:0.3757102272727273,best_acc:0.3888494318181818
acc:0.38387784090909094,best_acc:0.3888494318181818
acc:0.3849431818181818,best_acc:0.3888494318181818
acc:0.3884943181818182,best_acc:0.3888494318181818
acc:0.38813920454545453,best_acc:0.3888494318181818
acc:0.3838778409090909,best_acc:0.3888494318181818
acc:0.3888494318181818,best_acc:0.3888494318181818
acc:0.39808238636363635,best_acc:0.3888494318181818
acc:0.3963068181818182,best_acc:0.39808238636363635
acc:0.39488636363636365,best_acc:0.39808238636363635
acc:0.39346590909090906,best_acc:0.39808238636363635
acc:0.3924005681818182,best_acc:0.39808238636363635
acc:0.3927556818181818,best_acc:0.39808238636363635
acc:0.3881392045454546,best_acc:0.39808238636363635
acc:0.38423295454545453,best_acc:0.39808238636363635
acc:0.39701704545454547,best_acc:0.39808238636363635
acc:0.39595170454545453,best_acc:0.39808238636363635
acc:0.39311079545454547,best_acc:0.39808238636363635
acc:0.3892045454545454,best_acc:0.39808238636363635
acc:0.4037642045454546,best_acc:0.39808238636363635
acc:0.39559659090909094,best_acc:0.4037642045454546
acc:0.3952414772727273,best_acc:0.4037642045454546
acc:0.40198863636363635,best_acc:0.4037642045454546
acc:0.39559659090909094,best_acc:0.4037642045454546
acc:0.4037642045454546,best_acc:0.4037642045454546
acc:0.39950284090909094,best_acc:0.4037642045454546
acc:0.3938210227272727,best_acc:0.4037642045454546
acc:0.39985795454545453,best_acc:0.4037642045454546
acc:0.39346590909090906,best_acc:0.4037642045454546
acc:0.4041193181818182,best_acc:0.4037642045454546
acc:0.41157670454545453,best_acc:0.4041193181818182
acc:0.4158380681818182,best_acc:0.41157670454545453
acc:0.41122159090909094,best_acc:0.4158380681818182
acc:0.42080965909090906,best_acc:0.4158380681818182
acc:0.41832386363636365,best_acc:0.42080965909090906
acc:0.41796875,best_acc:0.42080965909090906
acc:0.4204545454545454,best_acc:0.42080965909090906
acc:0.4272017045454546,best_acc:0.42080965909090906
acc:0.41938920454545453,best_acc:0.4272017045454546
acc:0.41370738636363635,best_acc:0.4272017045454546
acc:0.41690340909090906,best_acc:0.4272017045454546
acc:0.4225852272727273,best_acc:0.4272017045454546
acc:0.41796875,best_acc:0.4272017045454546
acc:0.40518465909090906,best_acc:0.4272017045454546
acc:0.4094460227272727,best_acc:0.4272017045454546
acc:0.40767045454545453,best_acc:0.4272017045454546
acc:0.4119318181818182,best_acc:0.4272017045454546
acc:0.42223011363636365,best_acc:0.4272017045454546
acc:0.4200994318181818,best_acc:0.4272017045454546
acc:0.4154829545454546,best_acc:0.4272017045454546
acc:0.4115767045454546,best_acc:0.4272017045454546
acc:0.4133522727272727,best_acc:0.4272017045454546
acc:0.4186789772727273,best_acc:0.4272017045454546
acc:0.41903409090909094,best_acc:0.4272017045454546
TEST:  acc:0.4054726368159204
