acc:0.13013698630136986,best_acc:0
acc:0.1404109589041096,best_acc:0.13013698630136986
acc:0.14726027397260272,best_acc:0.1404109589041096
acc:0.1735159817351598,best_acc:0.14726027397260272
acc:0.17922374429223742,best_acc:0.1735159817351598
acc:0.18835616438356162,best_acc:0.17922374429223742
acc:0.18835616438356162,best_acc:0.18835616438356162
acc:0.18835616438356162,best_acc:0.18835616438356162
acc:0.17922374429223742,best_acc:0.18835616438356162
acc:0.17922374429223742,best_acc:0.18835616438356162
acc:0.17922374429223742,best_acc:0.18835616438356162
acc:0.17922374429223742,best_acc:0.18835616438356162
acc:0.17922374429223742,best_acc:0.18835616438356162
acc:0.1541095890410959,best_acc:0.18835616438356162
acc:0.1541095890410959,best_acc:0.18835616438356162
acc:0.1541095890410959,best_acc:0.18835616438356162
acc:0.1541095890410959,best_acc:0.18835616438356162
acc:0.1541095890410959,best_acc:0.18835616438356162
acc:0.1541095890410959,best_acc:0.18835616438356162
acc:0.1541095890410959,best_acc:0.18835616438356162
acc:0.1541095890410959,best_acc:0.18835616438356162
acc:0.1541095890410959,best_acc:0.18835616438356162
acc:0.1552511415525114,best_acc:0.18835616438356162
acc:0.1552511415525114,best_acc:0.18835616438356162
acc:0.158675799086758,best_acc:0.18835616438356162
acc:0.158675799086758,best_acc:0.18835616438356162
acc:0.16666666666666666,best_acc:0.18835616438356162
acc:0.16666666666666666,best_acc:0.18835616438356162
acc:0.16666666666666666,best_acc:0.18835616438356162
acc:0.16666666666666666,best_acc:0.18835616438356162
acc:0.16666666666666666,best_acc:0.18835616438356162
TEST:  acc:0.22146118721461186
