acc:0.11607324516785351,best_acc:0
acc:0.25127161749745675,best_acc:0.11607324516785351
acc:0.3121057985757884,best_acc:0.25127161749745675
acc:0.3300101729399797,best_acc:0.3121057985757884
acc:0.33896236012207526,best_acc:0.3300101729399797
acc:0.32227873855544253,best_acc:0.33896236012207526
acc:0.3118006103763988,best_acc:0.33896236012207526
acc:0.2967446592065107,best_acc:0.33896236012207526
acc:0.2955239064089522,best_acc:0.33896236012207526
acc:0.30264496439471006,best_acc:0.33896236012207526
acc:0.28728382502543237,best_acc:0.33896236012207526
acc:0.28870803662258393,best_acc:0.33896236012207526
acc:0.2853509664292981,best_acc:0.33896236012207526
acc:0.2984740590030519,best_acc:0.33896236012207526
acc:0.3015259409969481,best_acc:0.33896236012207526
acc:0.2837232960325534,best_acc:0.33896236012207526
TEST:  acc:0.3544252288911496
