acc:0.135343618513324,best_acc:0
acc:0.16900420757363255,best_acc:0.135343618513324
acc:0.26788218793828894,best_acc:0.16900420757363255
acc:0.3373071528751753,best_acc:0.26788218793828894
acc:0.35273492286115005,best_acc:0.3373071528751753
acc:0.40673211781206176,best_acc:0.35273492286115005
acc:0.4137447405329593,best_acc:0.40673211781206176
acc:0.41865357643758766,best_acc:0.4137447405329593
acc:0.4277699859747546,best_acc:0.41865357643758766
acc:0.43127629733520334,best_acc:0.4277699859747546
acc:0.43408134642356244,best_acc:0.43127629733520334
acc:0.4509116409537167,best_acc:0.43408134642356244
acc:0.4628330995792426,best_acc:0.4509116409537167
acc:0.4593267882187938,best_acc:0.4628330995792426
acc:0.4698457223001402,best_acc:0.4628330995792426
acc:0.48176718092566617,best_acc:0.4698457223001402
acc:0.4915848527349229,best_acc:0.48176718092566617
acc:0.4887798036465638,best_acc:0.4915848527349229
acc:0.48106591865357645,best_acc:0.4915848527349229
acc:0.48246844319775595,best_acc:0.4915848527349229
acc:0.4859747545582048,best_acc:0.4915848527349229
acc:0.4950911640953717,best_acc:0.4915848527349229
acc:0.49859747545582045,best_acc:0.4950911640953717
acc:0.4978962131837307,best_acc:0.49859747545582045
acc:0.4929873772791024,best_acc:0.49859747545582045
acc:0.5014025245441796,best_acc:0.49859747545582045
acc:0.5056100981767181,best_acc:0.5014025245441796
acc:0.5007012622720898,best_acc:0.5056100981767181
acc:0.497194950911641,best_acc:0.5056100981767181
acc:0.485273492286115,best_acc:0.5056100981767181
acc:0.4817671809256662,best_acc:0.5056100981767181
acc:0.48527349228611505,best_acc:0.5056100981767181
acc:0.4845722300140253,best_acc:0.5056100981767181
acc:0.4943899018232819,best_acc:0.5056100981767181
acc:0.5056100981767181,best_acc:0.5056100981767181
acc:0.49579242636746146,best_acc:0.5056100981767181
acc:0.5042075736325385,best_acc:0.5056100981767181
acc:0.5035063113604488,best_acc:0.5056100981767181
acc:0.4978962131837307,best_acc:0.5056100981767181
acc:0.4992987377279102,best_acc:0.5056100981767181
acc:0.5063113604488079,best_acc:0.5056100981767181
acc:0.5021037868162693,best_acc:0.5063113604488079
acc:0.5035063113604488,best_acc:0.5063113604488079
acc:0.5056100981767181,best_acc:0.5063113604488079
acc:0.5021037868162693,best_acc:0.5063113604488079
acc:0.5028050490883591,best_acc:0.5063113604488079
