acc:0.19133677567412508,best_acc:0
acc:0.3955823293172691,best_acc:0.19133677567412508
acc:0.44033275960986806,best_acc:0.3955823293172691
acc:0.46586345381526106,best_acc:0.44033275960986806
acc:0.48307515777395293,best_acc:0.46586345381526106
acc:0.4868043602983362,best_acc:0.48307515777395293
acc:0.5074584050487665,best_acc:0.4868043602983362
acc:0.48881239242685026,best_acc:0.5074584050487665
acc:0.4934021801491681,best_acc:0.5074584050487665
acc:0.4922547332185886,best_acc:0.5074584050487665
acc:0.4945496270797476,best_acc:0.5074584050487665
acc:0.4979919678714859,best_acc:0.5074584050487665
acc:0.48737808376362596,best_acc:0.5074584050487665
acc:0.4902467010900746,best_acc:0.5074584050487665
acc:0.4916810097532989,best_acc:0.5074584050487665
acc:0.47819850831899025,best_acc:0.5074584050487665
acc:0.48881239242685026,best_acc:0.5074584050487665
acc:0.49139414802065406,best_acc:0.5074584050487665
