acc:0.16054054054054054,best_acc:0
acc:0.35693693693693695,best_acc:0.16054054054054054
acc:0.3933333333333333,best_acc:0.35693693693693695
acc:0.40468468468468466,best_acc:0.3933333333333333
acc:0.39909909909909913,best_acc:0.40468468468468466
acc:0.39459459459459456,best_acc:0.40468468468468466
acc:0.3924324324324324,best_acc:0.40468468468468466
acc:0.3807207207207207,best_acc:0.40468468468468466
acc:0.37675675675675674,best_acc:0.40468468468468466
acc:0.376036036036036,best_acc:0.40468468468468466
acc:0.3927927927927928,best_acc:0.40468468468468466
acc:0.3891891891891892,best_acc:0.40468468468468466
acc:0.3834234234234234,best_acc:0.40468468468468466
acc:0.39153153153153153,best_acc:0.40468468468468466
acc:0.3971171171171171,best_acc:0.40468468468468466
