acc:0.07315340909090909,best_acc:0
acc:0.19957386363636365,best_acc:0.07315340909090909
acc:0.21235795454545453,best_acc:0.19957386363636365
acc:0.2159090909090909,best_acc:0.21235795454545453
acc:0.20738636363636365,best_acc:0.2159090909090909
acc:0.20667613636363635,best_acc:0.2159090909090909
acc:0.20170454545454547,best_acc:0.2159090909090909
acc:0.19744318181818182,best_acc:0.2159090909090909
acc:0.19318181818181818,best_acc:0.2159090909090909
acc:0.19140625,best_acc:0.2159090909090909
acc:0.1906960227272727,best_acc:0.2159090909090909
acc:0.1903409090909091,best_acc:0.2159090909090909
acc:0.18892045454545453,best_acc:0.2159090909090909
acc:0.18714488636363635,best_acc:0.2159090909090909
acc:0.1843039772727273,best_acc:0.2159090909090909
acc:0.18394886363636365,best_acc:0.2159090909090909
acc:0.18430397727272727,best_acc:0.2159090909090909
acc:0.18181818181818182,best_acc:0.2159090909090909
acc:0.17897727272727273,best_acc:0.2159090909090909
acc:0.17791193181818182,best_acc:0.2159090909090909
acc:0.17613636363636365,best_acc:0.2159090909090909
acc:0.17542613636363635,best_acc:0.2159090909090909
acc:0.1750710227272727,best_acc:0.2159090909090909
acc:0.1747159090909091,best_acc:0.2159090909090909
acc:0.1747159090909091,best_acc:0.2159090909090909
acc:0.17436079545454547,best_acc:0.2159090909090909
acc:0.1747159090909091,best_acc:0.2159090909090909
acc:0.17400568181818182,best_acc:0.2159090909090909
acc:0.1729403409090909,best_acc:0.2159090909090909
acc:0.17223011363636365,best_acc:0.2159090909090909
acc:0.17223011363636365,best_acc:0.2159090909090909
acc:0.1711647727272727,best_acc:0.2159090909090909
TEST:  acc:0.23312011371712862
