acc:0.2328767123287671,best_acc:0
acc:0.2511415525114155,best_acc:0.2328767123287671
acc:0.2237442922374429,best_acc:0.2511415525114155
acc:0.2054794520547945,best_acc:0.2511415525114155
acc:0.23515981735159816,best_acc:0.2511415525114155
acc:0.23515981735159816,best_acc:0.2511415525114155
acc:0.26712328767123283,best_acc:0.2511415525114155
acc:0.2785388127853881,best_acc:0.26712328767123283
acc:0.2808219178082192,best_acc:0.2785388127853881
acc:0.28538812785388123,best_acc:0.2808219178082192
acc:0.3150684931506849,best_acc:0.28538812785388123
acc:0.3013698630136986,best_acc:0.3150684931506849
acc:0.3264840182648402,best_acc:0.3150684931506849
acc:0.3424657534246575,best_acc:0.3264840182648402
acc:0.3242009132420091,best_acc:0.3424657534246575
acc:0.3721461187214612,best_acc:0.3424657534246575
acc:0.4063926940639269,best_acc:0.3721461187214612
acc:0.4452054794520548,best_acc:0.4063926940639269
acc:0.44977168949771684,best_acc:0.4452054794520548
acc:0.47716894977168944,best_acc:0.44977168949771684
acc:0.4908675799086758,best_acc:0.47716894977168944
acc:0.547945205479452,best_acc:0.4908675799086758
acc:0.5799086757990868,best_acc:0.547945205479452
acc:0.6141552511415524,best_acc:0.5799086757990868
acc:0.6210045662100456,best_acc:0.6141552511415524
acc:0.6301369863013698,best_acc:0.6210045662100456
acc:0.6324200913242009,best_acc:0.6301369863013698
acc:0.6187214611872146,best_acc:0.6324200913242009
acc:0.6278538812785388,best_acc:0.6324200913242009
acc:0.6278538812785388,best_acc:0.6324200913242009
acc:0.6438356164383562,best_acc:0.6324200913242009
acc:0.6301369863013698,best_acc:0.6438356164383562
acc:0.6301369863013699,best_acc:0.6438356164383562
acc:0.634703196347032,best_acc:0.6438356164383562
acc:0.6324200913242009,best_acc:0.6438356164383562
acc:0.6301369863013699,best_acc:0.6438356164383562
acc:0.6324200913242009,best_acc:0.6438356164383562
acc:0.6301369863013698,best_acc:0.6438356164383562
acc:0.6301369863013699,best_acc:0.6438356164383562
acc:0.636986301369863,best_acc:0.6438356164383562
acc:0.6324200913242009,best_acc:0.6438356164383562
acc:0.6187214611872146,best_acc:0.6438356164383562
acc:0.6232876712328768,best_acc:0.6438356164383562
acc:0.636986301369863,best_acc:0.6438356164383562
acc:0.6438356164383561,best_acc:0.6438356164383562
acc:0.639269406392694,best_acc:0.6438356164383562
acc:0.639269406392694,best_acc:0.6438356164383562
acc:0.6552511415525114,best_acc:0.6438356164383562
acc:0.6278538812785388,best_acc:0.6552511415525114
acc:0.6278538812785388,best_acc:0.6552511415525114
TEST:  acc:0.5
