acc:0.065412004069176,best_acc:0
acc:0.14994913530010173,best_acc:0.065412004069176
acc:0.15279755849440488,best_acc:0.14994913530010173
acc:0.14842319430315362,best_acc:0.15279755849440488
acc:0.14577822990844352,best_acc:0.15279755849440488
acc:0.14425228891149544,best_acc:0.15279755849440488
acc:0.14354018311291963,best_acc:0.15279755849440488
acc:0.14211597151576805,best_acc:0.15279755849440488
acc:0.14109867751780264,best_acc:0.15279755849440488
acc:0.13967446592065108,best_acc:0.15279755849440488
acc:0.13906408952187183,best_acc:0.15279755849440488
acc:0.13763987792472027,best_acc:0.15279755849440488
acc:0.13570701932858598,best_acc:0.15279755849440488
acc:0.13540183112919635,best_acc:0.15279755849440488
acc:0.13519837232960324,best_acc:0.15279755849440488
acc:0.13377416073245169,best_acc:0.15279755849440488
acc:0.13224821973550355,best_acc:0.15279755849440488
acc:0.12980671414038658,best_acc:0.15279755849440488
acc:0.12756866734486266,best_acc:0.15279755849440488
acc:0.12726347914547304,best_acc:0.15279755849440488
acc:0.1261444557477111,best_acc:0.15279755849440488
acc:0.125940996948118,best_acc:0.15279755849440488
acc:0.12451678535096644,best_acc:0.15279755849440488
acc:0.1226856561546287,best_acc:0.15279755849440488
acc:0.12156663275686674,best_acc:0.15279755849440488
acc:0.12095625635808749,best_acc:0.15279755849440488
acc:0.12034587995930825,best_acc:0.15279755849440488
acc:0.11932858596134283,best_acc:0.15279755849440488
acc:0.11983723296032553,best_acc:0.15279755849440488
acc:0.11983723296032554,best_acc:0.15279755849440488
