acc:0.18162692847124823,best_acc:0
acc:0.16129032258064516,best_acc:0.18162692847124823
acc:0.1640953716690042,best_acc:0.18162692847124823
acc:0.25666199158485276,best_acc:0.18162692847124823
acc:0.3085553997194951,best_acc:0.25666199158485276
acc:0.34782608695652173,best_acc:0.3085553997194951
acc:0.34572230014025246,best_acc:0.34782608695652173
acc:0.3492286115007013,best_acc:0.34782608695652173
acc:0.3436185133239832,best_acc:0.3492286115007013
acc:0.3429172510518934,best_acc:0.3492286115007013
acc:0.3380084151472651,best_acc:0.3492286115007013
acc:0.34081346423562414,best_acc:0.3492286115007013
acc:0.34221598877980364,best_acc:0.3492286115007013
acc:0.3380084151472651,best_acc:0.3492286115007013
acc:0.3394109396914446,best_acc:0.3492286115007013
acc:0.33660589060308554,best_acc:0.3492286115007013
acc:0.3330995792426368,best_acc:0.3492286115007013
acc:0.3302945301542777,best_acc:0.3492286115007013
acc:0.332398316970547,best_acc:0.3492286115007013
acc:0.33099579242636745,best_acc:0.3492286115007013
acc:0.3316970546984572,best_acc:0.3492286115007013
acc:0.33099579242636745,best_acc:0.3492286115007013
acc:0.3316970546984572,best_acc:0.3492286115007013
acc:0.32819074333800846,best_acc:0.3492286115007013
acc:0.3267882187938289,best_acc:0.3492286115007013
acc:0.32538569424964936,best_acc:0.3492286115007013
acc:0.3239831697054698,best_acc:0.3492286115007013
acc:0.32608695652173914,best_acc:0.3492286115007013
acc:0.3267882187938289,best_acc:0.3492286115007013
acc:0.32538569424964936,best_acc:0.3492286115007013
acc:0.32538569424964936,best_acc:0.3492286115007013
TEST:  acc:0.32819074333800846
