acc:0.1250717154331612,best_acc:0
acc:0.3138267355134825,best_acc:0.1250717154331612
acc:0.3336201950659782,best_acc:0.3138267355134825
acc:0.331899024670109,best_acc:0.3336201950659782
acc:0.3267355134825014,best_acc:0.3336201950659782
acc:0.3218588640275387,best_acc:0.3336201950659782
acc:0.31812966150315547,best_acc:0.3336201950659782
acc:0.3172690763052209,best_acc:0.3336201950659782
acc:0.3161216293746414,best_acc:0.3336201950659782
acc:0.31411359724612736,best_acc:0.3336201950659782
acc:0.31353987378083764,best_acc:0.3336201950659782
acc:0.3138267355134825,best_acc:0.3336201950659782
acc:0.31210556511761334,best_acc:0.3336201950659782
acc:0.31267928858290306,best_acc:0.3336201950659782
acc:0.3103843947217442,best_acc:0.3336201950659782
acc:0.3083763625932301,best_acc:0.3336201950659782
acc:0.30608146873207115,best_acc:0.3336201950659782
acc:0.3037865748709122,best_acc:0.3336201950659782
acc:0.3057946069994263,best_acc:0.3336201950659782
acc:0.30522088353413657,best_acc:0.3336201950659782
acc:0.30464716006884685,best_acc:0.3336201950659782
acc:0.30091795754446354,best_acc:0.3336201950659782
acc:0.3006310958118187,best_acc:0.3336201950659782
acc:0.3009179575444636,best_acc:0.3336201950659782
acc:0.3012048192771084,best_acc:0.3336201950659782
acc:0.2989099254159495,best_acc:0.3336201950659782
acc:0.295754446356856,best_acc:0.3336201950659782
acc:0.29546758462421113,best_acc:0.3336201950659782
acc:0.29460699942627655,best_acc:0.3336201950659782
acc:0.2937464142283419,best_acc:0.3336201950659782
acc:0.29202524383247275,best_acc:0.3336201950659782
TEST:  acc:0.3502581755593804
