acc:0.0718918918918919,best_acc:0
acc:0.19783783783783784,best_acc:0.0718918918918919
acc:0.2,best_acc:0.19783783783783784
acc:0.19855855855855856,best_acc:0.2
acc:0.19531531531531532,best_acc:0.2
acc:0.19099099099099098,best_acc:0.2
acc:0.18810810810810813,best_acc:0.2
acc:0.18576576576576576,best_acc:0.2
acc:0.18324324324324326,best_acc:0.2
acc:0.17981981981981981,best_acc:0.2
acc:0.17945945945945946,best_acc:0.2
acc:0.17603603603603604,best_acc:0.2
acc:0.17621621621621622,best_acc:0.2
acc:0.1744144144144144,best_acc:0.2
acc:0.17297297297297298,best_acc:0.2
acc:0.169009009009009,best_acc:0.2
acc:0.1681081081081081,best_acc:0.2
acc:0.16792792792792793,best_acc:0.2
acc:0.16756756756756758,best_acc:0.2
acc:0.1673873873873874,best_acc:0.2
acc:0.16666666666666669,best_acc:0.2
acc:0.1655855855855856,best_acc:0.2
acc:0.16324324324324324,best_acc:0.2
acc:0.16252252252252253,best_acc:0.2
acc:0.16306306306306306,best_acc:0.2
acc:0.1636036036036036,best_acc:0.2
acc:0.16162162162162164,best_acc:0.2
acc:0.16054054054054054,best_acc:0.2
acc:0.16036036036036036,best_acc:0.2
acc:0.15855855855855855,best_acc:0.2
acc:0.1592792792792793,best_acc:0.2
TEST:  acc:0.20522522522522524
