acc:0.21583850931677018,best_acc:0
acc:0.08540372670807453,best_acc:0.21583850931677018
acc:0.06521739130434782,best_acc:0.21583850931677018
acc:0.19332298136645962,best_acc:0.21583850931677018
acc:0.26475155279503104,best_acc:0.21583850931677018
acc:0.3175465838509317,best_acc:0.26475155279503104
acc:0.359472049689441,best_acc:0.3175465838509317
acc:0.4091614906832298,best_acc:0.359472049689441
acc:0.47437888198757766,best_acc:0.4091614906832298
acc:0.48680124223602483,best_acc:0.47437888198757766
acc:0.4976708074534162,best_acc:0.48680124223602483
acc:0.5023291925465838,best_acc:0.4976708074534162
acc:0.5069875776397516,best_acc:0.5023291925465838
acc:0.5116459627329193,best_acc:0.5069875776397516
acc:0.5085403726708074,best_acc:0.5116459627329193
acc:0.5170807453416149,best_acc:0.5116459627329193
acc:0.5225155279503106,best_acc:0.5170807453416149
acc:0.5225155279503105,best_acc:0.5225155279503106
acc:0.5248447204968945,best_acc:0.5225155279503106
acc:0.5279503105590062,best_acc:0.5248447204968945
acc:0.5357142857142858,best_acc:0.5279503105590062
acc:0.5419254658385093,best_acc:0.5357142857142858
acc:0.547360248447205,best_acc:0.5419254658385093
acc:0.5496894409937888,best_acc:0.547360248447205
acc:0.5450310559006211,best_acc:0.5496894409937888
acc:0.5411490683229814,best_acc:0.5496894409937888
acc:0.5427018633540373,best_acc:0.5496894409937888
acc:0.5496894409937888,best_acc:0.5496894409937888
acc:0.545807453416149,best_acc:0.5496894409937888
acc:0.5450310559006211,best_acc:0.5496894409937888
acc:0.5512422360248448,best_acc:0.5496894409937888
acc:0.547360248447205,best_acc:0.5512422360248448
acc:0.5419254658385093,best_acc:0.5512422360248448
acc:0.5496894409937888,best_acc:0.5512422360248448
acc:0.5605590062111802,best_acc:0.5512422360248448
acc:0.562888198757764,best_acc:0.5605590062111802
acc:0.5621118012422359,best_acc:0.562888198757764
acc:0.5582298136645962,best_acc:0.562888198757764
acc:0.562888198757764,best_acc:0.562888198757764
acc:0.5714285714285714,best_acc:0.562888198757764
acc:0.5753105590062112,best_acc:0.5714285714285714
acc:0.5737577639751552,best_acc:0.5753105590062112
acc:0.5753105590062112,best_acc:0.5753105590062112
acc:0.5760869565217391,best_acc:0.5753105590062112
acc:0.579192546583851,best_acc:0.5760869565217391
acc:0.5737577639751553,best_acc:0.579192546583851
acc:0.5722049689440993,best_acc:0.579192546583851
acc:0.5729813664596273,best_acc:0.579192546583851
acc:0.577639751552795,best_acc:0.579192546583851
acc:0.579192546583851,best_acc:0.579192546583851
acc:0.5822981366459627,best_acc:0.579192546583851
acc:0.5838509316770186,best_acc:0.5822981366459627
acc:0.5822981366459627,best_acc:0.5838509316770186
acc:0.5854037267080745,best_acc:0.5838509316770186
acc:0.5854037267080745,best_acc:0.5854037267080745
acc:0.5838509316770186,best_acc:0.5854037267080745
acc:0.5822981366459627,best_acc:0.5854037267080745
acc:0.5799689440993789,best_acc:0.5854037267080745
acc:0.5815217391304348,best_acc:0.5854037267080745
acc:0.5830745341614907,best_acc:0.5854037267080745
acc:0.5838509316770186,best_acc:0.5854037267080745
acc:0.5877329192546583,best_acc:0.5854037267080745
acc:0.5877329192546583,best_acc:0.5877329192546583
acc:0.5908385093167702,best_acc:0.5877329192546583
acc:0.592391304347826,best_acc:0.5908385093167702
acc:0.5931677018633541,best_acc:0.592391304347826
acc:0.5900621118012422,best_acc:0.5931677018633541
acc:0.5892857142857143,best_acc:0.5931677018633541
acc:0.5900621118012422,best_acc:0.5931677018633541
acc:0.5916149068322982,best_acc:0.5931677018633541
acc:0.5885093167701863,best_acc:0.5931677018633541
acc:0.5877329192546583,best_acc:0.5931677018633541
acc:0.5892857142857143,best_acc:0.5931677018633541
acc:0.5916149068322982,best_acc:0.5931677018633541
acc:0.5931677018633541,best_acc:0.5931677018633541
acc:0.5954968944099379,best_acc:0.5931677018633541
acc:0.5931677018633541,best_acc:0.5954968944099379
acc:0.5954968944099379,best_acc:0.5954968944099379
acc:0.5962732919254659,best_acc:0.5954968944099379
acc:0.5978260869565217,best_acc:0.5962732919254659
acc:0.5993788819875776,best_acc:0.5978260869565217
acc:0.5931677018633541,best_acc:0.5993788819875776
acc:0.593944099378882,best_acc:0.5993788819875776
acc:0.5954968944099379,best_acc:0.5993788819875776
acc:0.59472049689441,best_acc:0.5993788819875776
acc:0.593944099378882,best_acc:0.5993788819875776
acc:0.5954968944099379,best_acc:0.5993788819875776
acc:0.5962732919254659,best_acc:0.5993788819875776
acc:0.5954968944099379,best_acc:0.5993788819875776
acc:0.59472049689441,best_acc:0.5993788819875776
acc:0.5962732919254659,best_acc:0.5993788819875776
acc:0.5962732919254659,best_acc:0.5993788819875776
acc:0.5970496894409938,best_acc:0.5993788819875776
acc:0.5970496894409938,best_acc:0.5993788819875776
acc:0.5970496894409938,best_acc:0.5993788819875776
acc:0.5970496894409938,best_acc:0.5993788819875776
acc:0.5970496894409938,best_acc:0.5993788819875776
TEST:  acc:0.5993788819875776
