acc:0.31797752808988766,best_acc:0
acc:0.250561797752809,best_acc:0.31797752808988766
acc:0.250561797752809,best_acc:0.31797752808988766
acc:0.2213483146067416,best_acc:0.31797752808988766
acc:0.20561797752808988,best_acc:0.31797752808988766
acc:0.19775280898876405,best_acc:0.31797752808988766
acc:0.1797752808988764,best_acc:0.31797752808988766
acc:0.16741573033707866,best_acc:0.31797752808988766
acc:0.15842696629213482,best_acc:0.31797752808988766
acc:0.1741573033707865,best_acc:0.31797752808988766
acc:0.23707865168539327,best_acc:0.31797752808988766
acc:0.35730337078651686,best_acc:0.31797752808988766
acc:0.35730337078651686,best_acc:0.35730337078651686
acc:0.41235955056179774,best_acc:0.35730337078651686
acc:0.4662921348314607,best_acc:0.41235955056179774
acc:0.4943820224719101,best_acc:0.4662921348314607
acc:0.5146067415730338,best_acc:0.4943820224719101
acc:0.5370786516853933,best_acc:0.5146067415730338
acc:0.5573033707865168,best_acc:0.5370786516853933
acc:0.5831460674157303,best_acc:0.5573033707865168
acc:0.6168539325842697,best_acc:0.5831460674157303
acc:0.6404494382022472,best_acc:0.6168539325842697
acc:0.6584269662921349,best_acc:0.6404494382022472
acc:0.6674157303370787,best_acc:0.6584269662921349
acc:0.6707865168539326,best_acc:0.6674157303370787
acc:0.6786516853932585,best_acc:0.6707865168539326
acc:0.6853932584269663,best_acc:0.6786516853932585
acc:0.6910112359550562,best_acc:0.6853932584269663
acc:0.7,best_acc:0.6910112359550562
acc:0.7089887640449438,best_acc:0.7
acc:0.7146067415730337,best_acc:0.7089887640449438
acc:0.7179775280898877,best_acc:0.7146067415730337
acc:0.7224719101123596,best_acc:0.7179775280898877
acc:0.7269662921348314,best_acc:0.7224719101123596
acc:0.7314606741573033,best_acc:0.7269662921348314
acc:0.7337078651685394,best_acc:0.7314606741573033
acc:0.7348314606741573,best_acc:0.7337078651685394
acc:0.7370786516853933,best_acc:0.7348314606741573
acc:0.747191011235955,best_acc:0.7370786516853933
acc:0.752808988764045,best_acc:0.747191011235955
acc:0.7539325842696629,best_acc:0.752808988764045
acc:0.7606741573033708,best_acc:0.7539325842696629
acc:0.7640449438202247,best_acc:0.7606741573033708
acc:0.7629213483146067,best_acc:0.7640449438202247
acc:0.7595505617977527,best_acc:0.7640449438202247
