acc:0.2511415525114155,best_acc:0
acc:0.1952054794520548,best_acc:0.2511415525114155
acc:0.0730593607305936,best_acc:0.2511415525114155
acc:0.04794520547945205,best_acc:0.2511415525114155
acc:0.06963470319634703,best_acc:0.2511415525114155
acc:0.15182648401826482,best_acc:0.2511415525114155
acc:0.2134703196347032,best_acc:0.2511415525114155
acc:0.2682648401826484,best_acc:0.2511415525114155
acc:0.3070776255707762,best_acc:0.2682648401826484
acc:0.3162100456621004,best_acc:0.3070776255707762
acc:0.3367579908675799,best_acc:0.3162100456621004
acc:0.3527397260273972,best_acc:0.3367579908675799
acc:0.3995433789954338,best_acc:0.3527397260273972
acc:0.4155251141552512,best_acc:0.3995433789954338
acc:0.4657534246575342,best_acc:0.4155251141552512
acc:0.5057077625570776,best_acc:0.4657534246575342
acc:0.521689497716895,best_acc:0.5057077625570776
acc:0.5308219178082192,best_acc:0.521689497716895
acc:0.5388127853881279,best_acc:0.5308219178082192
acc:0.5456621004566211,best_acc:0.5388127853881279
acc:0.5468036529680366,best_acc:0.5456621004566211
acc:0.565068493150685,best_acc:0.5468036529680366
acc:0.5901826484018264,best_acc:0.565068493150685
acc:0.6004566210045663,best_acc:0.5901826484018264
acc:0.6118721461187214,best_acc:0.6004566210045663
acc:0.6141552511415524,best_acc:0.6118721461187214
acc:0.615296803652968,best_acc:0.6141552511415524
acc:0.6187214611872147,best_acc:0.615296803652968
acc:0.6210045662100456,best_acc:0.6187214611872147
acc:0.6221461187214612,best_acc:0.6210045662100456
acc:0.6210045662100456,best_acc:0.6221461187214612
acc:0.6187214611872147,best_acc:0.6221461187214612
acc:0.6164383561643836,best_acc:0.6221461187214612
acc:0.6141552511415524,best_acc:0.6221461187214612
acc:0.6095890410958904,best_acc:0.6221461187214612
acc:0.6050228310502284,best_acc:0.6221461187214612
acc:0.6015981735159817,best_acc:0.6221461187214612
acc:0.5981735159817352,best_acc:0.6221461187214612
acc:0.6061643835616438,best_acc:0.6221461187214612
acc:0.6118721461187215,best_acc:0.6221461187214612
acc:0.6118721461187215,best_acc:0.6221461187214612
acc:0.6050228310502284,best_acc:0.6221461187214612
acc:0.6038812785388128,best_acc:0.6221461187214612
acc:0.6061643835616438,best_acc:0.6221461187214612
acc:0.6084474885844748,best_acc:0.6221461187214612
acc:0.613013698630137,best_acc:0.6221461187214612
TEST:  acc:0.6289954337899544
