acc:0.1534090909090909,best_acc:0
acc:0.24325284090909094,best_acc:0.1534090909090909
acc:0.28941761363636365,best_acc:0.24325284090909094
acc:0.33167613636363635,best_acc:0.28941761363636365
acc:0.3405539772727273,best_acc:0.33167613636363635
acc:0.34659090909090906,best_acc:0.3405539772727273
acc:0.3654119318181818,best_acc:0.34659090909090906
acc:0.3725142045454546,best_acc:0.3654119318181818
acc:0.3657670454545454,best_acc:0.3725142045454546
acc:0.3821022727272727,best_acc:0.3725142045454546
acc:0.3725142045454546,best_acc:0.3821022727272727
acc:0.36683238636363635,best_acc:0.3821022727272727
acc:0.36825284090909094,best_acc:0.3821022727272727
acc:0.37393465909090906,best_acc:0.3821022727272727
acc:0.3533380681818182,best_acc:0.3821022727272727
acc:0.35830965909090906,best_acc:0.3821022727272727
acc:0.36363636363636365,best_acc:0.3821022727272727
acc:0.36825284090909094,best_acc:0.3821022727272727
acc:0.3458806818181818,best_acc:0.3821022727272727
acc:0.35120738636363635,best_acc:0.3821022727272727
acc:0.35049715909090906,best_acc:0.3821022727272727
acc:0.36044034090909094,best_acc:0.3821022727272727
acc:0.3483664772727273,best_acc:0.3821022727272727
acc:0.37073863636363635,best_acc:0.3821022727272727
acc:0.38032670454545453,best_acc:0.3821022727272727
acc:0.37926136363636365,best_acc:0.3821022727272727
acc:0.3835227272727273,best_acc:0.3821022727272727
acc:0.3771306818181818,best_acc:0.3835227272727273
acc:0.37606534090909094,best_acc:0.3835227272727273
acc:0.3732244318181818,best_acc:0.3835227272727273
acc:0.35582386363636365,best_acc:0.3835227272727273
acc:0.3678977272727273,best_acc:0.3835227272727273
acc:0.38636363636363635,best_acc:0.3835227272727273
acc:0.37784090909090906,best_acc:0.38636363636363635
acc:0.37144886363636365,best_acc:0.38636363636363635
acc:0.3625710227272727,best_acc:0.38636363636363635
