acc:0.031095406360424026,best_acc:0
acc:0.051987632508833925,best_acc:0.031095406360424026
acc:0.08829505300353357,best_acc:0.051987632508833925
acc:0.11528268551236749,best_acc:0.08829505300353357
acc:0.12367491166077738,best_acc:0.11528268551236749
acc:0.12402826855123675,best_acc:0.12367491166077738
acc:0.12433745583038869,best_acc:0.12402826855123675
acc:0.12438162544169612,best_acc:0.12433745583038869
acc:0.12491166077738516,best_acc:0.12438162544169612
acc:0.12610424028268552,best_acc:0.12491166077738516
acc:0.12588339222614842,best_acc:0.12610424028268552
