acc:0.08948863636363637,best_acc:0
acc:0.20703125,best_acc:0.08948863636363637
acc:0.22301136363636365,best_acc:0.20703125
acc:0.2137784090909091,best_acc:0.22301136363636365
acc:0.21022727272727273,best_acc:0.22301136363636365
acc:0.21271306818181818,best_acc:0.22301136363636365
acc:0.21129261363636365,best_acc:0.22301136363636365
acc:0.20845170454545453,best_acc:0.22301136363636365
acc:0.20738636363636365,best_acc:0.22301136363636365
acc:0.20632102272727273,best_acc:0.22301136363636365
acc:0.20561079545454547,best_acc:0.22301136363636365
acc:0.20490056818181818,best_acc:0.22301136363636365
acc:0.20241477272727273,best_acc:0.22301136363636365
acc:0.19992897727272727,best_acc:0.22301136363636365
acc:0.19708806818181818,best_acc:0.22301136363636365
acc:0.19673295454545453,best_acc:0.22301136363636365
acc:0.1960227272727273,best_acc:0.22301136363636365
acc:0.1953125,best_acc:0.22301136363636365
acc:0.1924715909090909,best_acc:0.22301136363636365
acc:0.18927556818181818,best_acc:0.22301136363636365
acc:0.18821022727272727,best_acc:0.22301136363636365
acc:0.18678977272727273,best_acc:0.22301136363636365
acc:0.1864346590909091,best_acc:0.22301136363636365
acc:0.18536931818181818,best_acc:0.22301136363636365
acc:0.18536931818181818,best_acc:0.22301136363636365
acc:0.18430397727272727,best_acc:0.22301136363636365
acc:0.1843039772727273,best_acc:0.22301136363636365
acc:0.18359375,best_acc:0.22301136363636365
acc:0.1825284090909091,best_acc:0.22301136363636365
acc:0.18110795454545456,best_acc:0.22301136363636365
acc:0.1789772727272727,best_acc:0.22301136363636365
acc:0.1796875,best_acc:0.22301136363636365
