acc:0.172360248447205,best_acc:0
acc:0.053571428571428575,best_acc:0.172360248447205
acc:0.02329192546583851,best_acc:0.172360248447205
acc:0.16770186335403725,best_acc:0.172360248447205
acc:0.22593167701863354,best_acc:0.172360248447205
acc:0.22981366459627328,best_acc:0.22593167701863354
acc:0.26164596273291924,best_acc:0.22981366459627328
acc:0.3159937888198758,best_acc:0.26164596273291924
acc:0.33462732919254656,best_acc:0.3159937888198758
acc:0.34472049689441,best_acc:0.33462732919254656
acc:0.35093167701863354,best_acc:0.34472049689441
acc:0.36180124223602483,best_acc:0.35093167701863354
acc:0.3656832298136646,best_acc:0.36180124223602483
acc:0.36180124223602483,best_acc:0.3656832298136646
acc:0.36801242236024845,best_acc:0.3656832298136646
acc:0.3695652173913043,best_acc:0.36801242236024845
acc:0.3687888198757764,best_acc:0.3695652173913043
acc:0.36801242236024845,best_acc:0.3695652173913043
acc:0.37034161490683226,best_acc:0.3695652173913043
acc:0.3718944099378882,best_acc:0.37034161490683226
acc:0.37267080745341613,best_acc:0.3718944099378882
acc:0.36645962732919257,best_acc:0.37267080745341613
acc:0.36801242236024845,best_acc:0.37267080745341613
acc:0.3695652173913043,best_acc:0.37267080745341613
acc:0.3687888198757764,best_acc:0.37267080745341613
acc:0.3687888198757764,best_acc:0.37267080745341613
acc:0.3672360248447205,best_acc:0.37267080745341613
acc:0.3672360248447205,best_acc:0.37267080745341613
acc:0.3703416149068323,best_acc:0.37267080745341613
acc:0.3687888198757764,best_acc:0.37267080745341613
acc:0.36645962732919257,best_acc:0.37267080745341613
acc:0.36180124223602483,best_acc:0.37267080745341613
acc:0.36335403726708076,best_acc:0.37267080745341613
acc:0.36490683229813664,best_acc:0.37267080745341613
acc:0.36180124223602483,best_acc:0.37267080745341613
acc:0.36257763975155277,best_acc:0.37267080745341613
acc:0.3633540372670807,best_acc:0.37267080745341613
TEST:  acc:0.3765527950310559
