acc:0.30112359550561796,best_acc:0
acc:0.3033707865168539,best_acc:0.30112359550561796
acc:0.24719101123595505,best_acc:0.3033707865168539
acc:0.2359550561797753,best_acc:0.3033707865168539
acc:0.21235955056179776,best_acc:0.3033707865168539
acc:0.18651685393258427,best_acc:0.3033707865168539
acc:0.17191011235955056,best_acc:0.3033707865168539
acc:0.18764044943820224,best_acc:0.3033707865168539
acc:0.2606741573033708,best_acc:0.3033707865168539
acc:0.32134831460674157,best_acc:0.3033707865168539
acc:0.36741573033707864,best_acc:0.32134831460674157
acc:0.38539325842696626,best_acc:0.36741573033707864
acc:0.41685393258426967,best_acc:0.38539325842696626
acc:0.4561797752808989,best_acc:0.41685393258426967
acc:0.48764044943820223,best_acc:0.4561797752808989
acc:0.5044943820224719,best_acc:0.48764044943820223
acc:0.5280898876404494,best_acc:0.5044943820224719
acc:0.5415730337078652,best_acc:0.5280898876404494
acc:0.5449438202247191,best_acc:0.5415730337078652
acc:0.5528089887640449,best_acc:0.5449438202247191
acc:0.5516853932584269,best_acc:0.5528089887640449
acc:0.5595505617977528,best_acc:0.5528089887640449
acc:0.5595505617977528,best_acc:0.5595505617977528
acc:0.5640449438202247,best_acc:0.5595505617977528
acc:0.5674157303370786,best_acc:0.5640449438202247
acc:0.5707865168539326,best_acc:0.5674157303370786
acc:0.5696629213483146,best_acc:0.5707865168539326
acc:0.5685393258426966,best_acc:0.5707865168539326
acc:0.5696629213483146,best_acc:0.5707865168539326
acc:0.5730337078651685,best_acc:0.5707865168539326
acc:0.5719101123595505,best_acc:0.5730337078651685
acc:0.5730337078651686,best_acc:0.5730337078651685
acc:0.5752808988764044,best_acc:0.5730337078651686
acc:0.5752808988764044,best_acc:0.5752808988764044
acc:0.5752808988764044,best_acc:0.5752808988764044
acc:0.5741573033707865,best_acc:0.5752808988764044
acc:0.5775280898876405,best_acc:0.5752808988764044
acc:0.5741573033707865,best_acc:0.5775280898876405
acc:0.5730337078651685,best_acc:0.5775280898876405
acc:0.5752808988764044,best_acc:0.5775280898876405
acc:0.5719101123595506,best_acc:0.5775280898876405
acc:0.5752808988764044,best_acc:0.5775280898876405
acc:0.5764044943820225,best_acc:0.5775280898876405
acc:0.5719101123595506,best_acc:0.5775280898876405
acc:0.5719101123595506,best_acc:0.5775280898876405
acc:0.5696629213483146,best_acc:0.5775280898876405
acc:0.5707865168539326,best_acc:0.5775280898876405
acc:0.5730337078651686,best_acc:0.5775280898876405
acc:0.5719101123595506,best_acc:0.5775280898876405
acc:0.5730337078651686,best_acc:0.5775280898876405
acc:0.5707865168539326,best_acc:0.5775280898876405
acc:0.5674157303370786,best_acc:0.5775280898876405
acc:0.5629213483146067,best_acc:0.5775280898876405
TEST:  acc:0.5606741573033708
