acc:0.2237442922374429,best_acc:0
acc:0.10388127853881278,best_acc:0.2237442922374429
acc:0.06050228310502283,best_acc:0.2237442922374429
acc:0.023972602739726026,best_acc:0.2237442922374429
acc:0.023972602739726026,best_acc:0.2237442922374429
acc:0.02054794520547945,best_acc:0.2237442922374429
acc:0.02054794520547945,best_acc:0.2237442922374429
acc:0.02054794520547945,best_acc:0.2237442922374429
acc:0.02054794520547945,best_acc:0.2237442922374429
acc:0.023972602739726026,best_acc:0.2237442922374429
acc:0.02968036529680365,best_acc:0.2237442922374429
acc:0.04680365296803653,best_acc:0.2237442922374429
acc:0.04680365296803653,best_acc:0.2237442922374429
acc:0.08105022831050228,best_acc:0.2237442922374429
acc:0.08105022831050228,best_acc:0.2237442922374429
acc:0.1187214611872146,best_acc:0.2237442922374429
acc:0.1415525114155251,best_acc:0.2237442922374429
acc:0.16666666666666666,best_acc:0.2237442922374429
acc:0.1963470319634703,best_acc:0.2237442922374429
acc:0.22945205479452055,best_acc:0.2237442922374429
acc:0.2534246575342466,best_acc:0.22945205479452055
acc:0.2922374429223744,best_acc:0.2534246575342466
acc:0.3219178082191781,best_acc:0.2922374429223744
acc:0.3356164383561644,best_acc:0.3219178082191781
acc:0.3470319634703196,best_acc:0.3356164383561644
acc:0.363013698630137,best_acc:0.3470319634703196
acc:0.3687214611872146,best_acc:0.363013698630137
acc:0.3755707762557078,best_acc:0.3687214611872146
acc:0.37671232876712324,best_acc:0.3755707762557078
acc:0.3778538812785388,best_acc:0.37671232876712324
acc:0.384703196347032,best_acc:0.3778538812785388
acc:0.3881278538812785,best_acc:0.384703196347032
acc:0.38926940639269403,best_acc:0.3881278538812785
acc:0.3915525114155251,best_acc:0.38926940639269403
acc:0.3949771689497717,best_acc:0.3915525114155251
acc:0.39497716894977164,best_acc:0.3949771689497717
acc:0.4018264840182648,best_acc:0.3949771689497717
acc:0.4029680365296804,best_acc:0.4018264840182648
acc:0.4052511415525114,best_acc:0.4029680365296804
acc:0.4052511415525114,best_acc:0.4052511415525114
acc:0.40753424657534243,best_acc:0.4052511415525114
acc:0.40753424657534243,best_acc:0.40753424657534243
acc:0.4063926940639269,best_acc:0.40753424657534243
acc:0.40753424657534243,best_acc:0.40753424657534243
acc:0.4063926940639269,best_acc:0.40753424657534243
acc:0.406392694063927,best_acc:0.40753424657534243
acc:0.4052511415525114,best_acc:0.40753424657534243
acc:0.4052511415525114,best_acc:0.40753424657534243
acc:0.4052511415525114,best_acc:0.40753424657534243
acc:0.4041095890410959,best_acc:0.40753424657534243
acc:0.4041095890410959,best_acc:0.40753424657534243
acc:0.40410958904109584,best_acc:0.40753424657534243
acc:0.4052511415525114,best_acc:0.40753424657534243
acc:0.408675799086758,best_acc:0.40753424657534243
acc:0.40753424657534243,best_acc:0.408675799086758
acc:0.4063926940639269,best_acc:0.408675799086758
acc:0.40410958904109584,best_acc:0.408675799086758
acc:0.4041095890410959,best_acc:0.408675799086758
acc:0.4052511415525114,best_acc:0.408675799086758
acc:0.4121004566210046,best_acc:0.408675799086758
acc:0.4121004566210046,best_acc:0.4121004566210046
acc:0.4143835616438356,best_acc:0.4121004566210046
acc:0.4143835616438356,best_acc:0.4143835616438356
acc:0.4155251141552511,best_acc:0.4143835616438356
acc:0.41666666666666663,best_acc:0.4155251141552511
acc:0.4155251141552512,best_acc:0.41666666666666663
acc:0.4178082191780822,best_acc:0.41666666666666663
acc:0.41666666666666663,best_acc:0.4178082191780822
acc:0.41666666666666663,best_acc:0.4178082191780822
acc:0.41666666666666663,best_acc:0.4178082191780822
acc:0.4155251141552512,best_acc:0.4178082191780822
acc:0.41666666666666663,best_acc:0.4178082191780822
acc:0.4155251141552512,best_acc:0.4178082191780822
acc:0.41666666666666663,best_acc:0.4178082191780822
acc:0.4155251141552512,best_acc:0.4178082191780822
acc:0.4178082191780822,best_acc:0.4178082191780822
acc:0.4189497716894977,best_acc:0.4178082191780822
acc:0.4189497716894977,best_acc:0.4189497716894977
acc:0.4178082191780822,best_acc:0.4189497716894977
acc:0.41666666666666663,best_acc:0.4189497716894977
acc:0.41666666666666663,best_acc:0.4189497716894977
acc:0.4189497716894977,best_acc:0.4189497716894977
acc:0.4189497716894977,best_acc:0.4189497716894977
acc:0.4189497716894977,best_acc:0.4189497716894977
acc:0.4212328767123288,best_acc:0.4189497716894977
acc:0.4212328767123288,best_acc:0.4212328767123288
acc:0.4212328767123288,best_acc:0.4212328767123288
acc:0.4223744292237443,best_acc:0.4212328767123288
acc:0.4223744292237443,best_acc:0.4223744292237443
acc:0.4223744292237443,best_acc:0.4223744292237443
acc:0.4235159817351598,best_acc:0.4223744292237443
acc:0.4235159817351598,best_acc:0.4235159817351598
acc:0.4235159817351598,best_acc:0.4235159817351598
acc:0.4235159817351598,best_acc:0.4235159817351598
acc:0.4235159817351598,best_acc:0.4235159817351598
acc:0.4235159817351598,best_acc:0.4235159817351598
acc:0.4235159817351598,best_acc:0.4235159817351598
acc:0.4235159817351598,best_acc:0.4235159817351598
acc:0.4235159817351598,best_acc:0.4235159817351598
acc:0.4235159817351598,best_acc:0.4235159817351598
TEST:  acc:0.4726027397260274
