acc:0.008850457782299086,best_acc:0
acc:0.06236012207527976,best_acc:0.008850457782299086
acc:0.0768056968463886,best_acc:0.06236012207527976
acc:0.07772126144455749,best_acc:0.0768056968463886
acc:0.07863682604272634,best_acc:0.07772126144455749
acc:0.08016276703967447,best_acc:0.07863682604272634
acc:0.08016276703967447,best_acc:0.08016276703967447
acc:0.07731434384537131,best_acc:0.08016276703967447
acc:0.07589013224821974,best_acc:0.08016276703967447
acc:0.07914547304170906,best_acc:0.08016276703967447
acc:0.07884028484231943,best_acc:0.08016276703967447
acc:0.07904374364191252,best_acc:0.08016276703967447
acc:0.07945066124109867,best_acc:0.08016276703967447
acc:0.08118006103763988,best_acc:0.08016276703967447
acc:0.08107833163784334,best_acc:0.08118006103763988
acc:0.07833163784333673,best_acc:0.08118006103763988
acc:0.08016276703967447,best_acc:0.08118006103763988
acc:0.08036622583926754,best_acc:0.08118006103763988
acc:0.07995930824008138,best_acc:0.08118006103763988
acc:0.07914547304170906,best_acc:0.08118006103763988
acc:0.07884028484231943,best_acc:0.08118006103763988
acc:0.07894201424211597,best_acc:0.08118006103763988
acc:0.07792472024415056,best_acc:0.08118006103763988
acc:0.07955239064089523,best_acc:0.08118006103763988
acc:0.07914547304170905,best_acc:0.08118006103763988
acc:0.08087487283825026,best_acc:0.08118006103763988
acc:0.08036622583926756,best_acc:0.08118006103763988
acc:0.08056968463886063,best_acc:0.08118006103763988
acc:0.08006103763987793,best_acc:0.08118006103763988
acc:0.08118006103763988,best_acc:0.08118006103763988
acc:0.07934893184130214,best_acc:0.08118006103763988
acc:0.0792472024415056,best_acc:0.08118006103763988
acc:0.07884028484231943,best_acc:0.08118006103763988
acc:0.07843336724313327,best_acc:0.08118006103763988
acc:0.07863682604272634,best_acc:0.08118006103763988
