acc:0.17441193344807804,best_acc:0
acc:0.316982214572576,best_acc:0.17441193344807804
acc:0.34107860011474467,best_acc:0.316982214572576
acc:0.32816982214572576,best_acc:0.34107860011474467
acc:0.3232931726907631,best_acc:0.34107860011474467
acc:0.31985083189902463,best_acc:0.34107860011474467
acc:0.316982214572576,best_acc:0.34107860011474467
acc:0.31812966150315547,best_acc:0.34107860011474467
acc:0.31956397016637983,best_acc:0.34107860011474467
acc:0.3166953528399311,best_acc:0.34107860011474467
acc:0.31267928858290306,best_acc:0.34107860011474467
acc:0.3118187033849684,best_acc:0.34107860011474467
acc:0.310671256454389,best_acc:0.34107860011474467
acc:0.30952380952380953,best_acc:0.34107860011474467
acc:0.310671256454389,best_acc:0.34107860011474467
acc:0.3098106712564544,best_acc:0.34107860011474467
acc:0.30722891566265065,best_acc:0.34107860011474467
acc:0.3029259896729776,best_acc:0.34107860011474467
acc:0.2980493402180149,best_acc:0.34107860011474467
acc:0.2983362019506598,best_acc:0.34107860011474467
acc:0.2989099254159495,best_acc:0.34107860011474467
acc:0.2983362019506598,best_acc:0.34107860011474467
acc:0.2963281698221457,best_acc:0.34107860011474467
acc:0.2943201376936317,best_acc:0.34107860011474467
acc:0.29546758462421113,best_acc:0.34107860011474467
acc:0.2980493402180149,best_acc:0.34107860011474467
acc:0.3003442340791738,best_acc:0.34107860011474467
acc:0.2991967871485944,best_acc:0.34107860011474467
acc:0.2983362019506598,best_acc:0.34107860011474467
acc:0.29518072289156627,best_acc:0.34107860011474467
acc:0.29518072289156627,best_acc:0.34107860011474467
TEST:  acc:0.342512908777969
