acc:0.03135135135135135,best_acc:0
acc:0.19945945945945948,best_acc:0.03135135135135135
acc:0.19225225225225223,best_acc:0.19945945945945948
acc:0.19099099099099098,best_acc:0.19945945945945948
acc:0.18702702702702703,best_acc:0.19945945945945948
acc:0.18036036036036035,best_acc:0.19945945945945948
acc:0.17585585585585586,best_acc:0.19945945945945948
acc:0.17603603603603604,best_acc:0.19945945945945948
acc:0.1736936936936937,best_acc:0.19945945945945948
acc:0.1718918918918919,best_acc:0.19945945945945948
acc:0.1699099099099099,best_acc:0.19945945945945948
acc:0.16882882882882883,best_acc:0.19945945945945948
acc:0.1682882882882883,best_acc:0.19945945945945948
acc:0.1654054054054054,best_acc:0.19945945945945948
acc:0.16486486486486485,best_acc:0.19945945945945948
acc:0.16468468468468467,best_acc:0.19945945945945948
acc:0.16666666666666669,best_acc:0.19945945945945948
acc:0.16504504504504502,best_acc:0.19945945945945948
acc:0.16342342342342342,best_acc:0.19945945945945948
acc:0.16216216216216217,best_acc:0.19945945945945948
acc:0.16144144144144146,best_acc:0.19945945945945948
acc:0.15963963963963965,best_acc:0.19945945945945948
acc:0.15981981981981982,best_acc:0.19945945945945948
acc:0.158018018018018,best_acc:0.19945945945945948
acc:0.15855855855855855,best_acc:0.19945945945945948
acc:0.15711711711711712,best_acc:0.19945945945945948
acc:0.1565765765765766,best_acc:0.19945945945945948
acc:0.15585585585585587,best_acc:0.19945945945945948
acc:0.15405405405405403,best_acc:0.19945945945945948
acc:0.15225225225225225,best_acc:0.19945945945945948
acc:0.15225225225225225,best_acc:0.19945945945945948
TEST:  acc:0.2
