acc:0.31211180124223603,best_acc:0
acc:0.3315217391304348,best_acc:0.31211180124223603
acc:0.3858695652173913,best_acc:0.3315217391304348
acc:0.4231366459627329,best_acc:0.3858695652173913
acc:0.44021739130434784,best_acc:0.4231366459627329
acc:0.44720496894409933,best_acc:0.44021739130434784
acc:0.44021739130434784,best_acc:0.44720496894409933
acc:0.4448757763975155,best_acc:0.44720496894409933
acc:0.45341614906832295,best_acc:0.44720496894409933
acc:0.4503105590062112,best_acc:0.45341614906832295
acc:0.4503105590062112,best_acc:0.45341614906832295
acc:0.45108695652173914,best_acc:0.45341614906832295
acc:0.45108695652173914,best_acc:0.45341614906832295
acc:0.45962732919254656,best_acc:0.45341614906832295
acc:0.46195652173913043,best_acc:0.45962732919254656
acc:0.46816770186335405,best_acc:0.46195652173913043
acc:0.4704968944099379,best_acc:0.46816770186335405
acc:0.4743788819875776,best_acc:0.4704968944099379
acc:0.4782608695652174,best_acc:0.4743788819875776
acc:0.4782608695652174,best_acc:0.4782608695652174
acc:0.48214285714285715,best_acc:0.4782608695652174
acc:0.4891304347826087,best_acc:0.48214285714285715
acc:0.4937888198757764,best_acc:0.4891304347826087
acc:0.49068322981366463,best_acc:0.4937888198757764
acc:0.4945652173913043,best_acc:0.4937888198757764
acc:0.49611801242236025,best_acc:0.4945652173913043
acc:0.48990683229813664,best_acc:0.49611801242236025
acc:0.49534161490683226,best_acc:0.49611801242236025
acc:0.4922360248447205,best_acc:0.49611801242236025
acc:0.48990683229813664,best_acc:0.49611801242236025
acc:0.49068322981366463,best_acc:0.49611801242236025
acc:0.4860248447204969,best_acc:0.49611801242236025
acc:0.48757763975155277,best_acc:0.49611801242236025
acc:0.48757763975155277,best_acc:0.49611801242236025
acc:0.48757763975155277,best_acc:0.49611801242236025
acc:0.48835403726708076,best_acc:0.49611801242236025
acc:0.48680124223602483,best_acc:0.49611801242236025
acc:0.4860248447204969,best_acc:0.49611801242236025
acc:0.48680124223602483,best_acc:0.49611801242236025
acc:0.48524844720496896,best_acc:0.49611801242236025
acc:0.48136645962732916,best_acc:0.49611801242236025
acc:0.4805900621118012,best_acc:0.49611801242236025
acc:0.4836956521739131,best_acc:0.49611801242236025
acc:0.4836956521739131,best_acc:0.49611801242236025
acc:0.49301242236024845,best_acc:0.49611801242236025
acc:0.4922360248447205,best_acc:0.49611801242236025
acc:0.4937888198757764,best_acc:0.49611801242236025
acc:0.4984472049689441,best_acc:0.49611801242236025
acc:0.5023291925465838,best_acc:0.4984472049689441
acc:0.5046583850931676,best_acc:0.5023291925465838
acc:0.5007763975155279,best_acc:0.5046583850931676
acc:0.4945652173913043,best_acc:0.5046583850931676
acc:0.49301242236024845,best_acc:0.5046583850931676
acc:0.4922360248447205,best_acc:0.5046583850931676
acc:0.4945652173913043,best_acc:0.5046583850931676
acc:0.48835403726708076,best_acc:0.5046583850931676
acc:0.4937888198757764,best_acc:0.5046583850931676
acc:0.4984472049689441,best_acc:0.5046583850931676
acc:0.5015527950310559,best_acc:0.5046583850931676
acc:0.5015527950310559,best_acc:0.5046583850931676
acc:0.4984472049689441,best_acc:0.5046583850931676
acc:0.5108695652173914,best_acc:0.5046583850931676
acc:0.5217391304347826,best_acc:0.5108695652173914
acc:0.5240683229813665,best_acc:0.5217391304347826
acc:0.5186335403726707,best_acc:0.5240683229813665
acc:0.5201863354037267,best_acc:0.5240683229813665
acc:0.5178571428571428,best_acc:0.5240683229813665
acc:0.5116459627329193,best_acc:0.5240683229813665
acc:0.5100931677018634,best_acc:0.5240683229813665
acc:0.5085403726708074,best_acc:0.5240683229813665
acc:0.5170807453416149,best_acc:0.5240683229813665
acc:0.5201863354037267,best_acc:0.5240683229813665
acc:0.5201863354037267,best_acc:0.5240683229813665
acc:0.5201863354037267,best_acc:0.5240683229813665
acc:0.5186335403726708,best_acc:0.5240683229813665
acc:0.5186335403726708,best_acc:0.5240683229813665
acc:0.5194099378881988,best_acc:0.5240683229813665
acc:0.5194099378881987,best_acc:0.5240683229813665
acc:0.5194099378881987,best_acc:0.5240683229813665
acc:0.5209627329192547,best_acc:0.5240683229813665
acc:0.5201863354037267,best_acc:0.5240683229813665
acc:0.5201863354037267,best_acc:0.5240683229813665
acc:0.5209627329192547,best_acc:0.5240683229813665
acc:0.5201863354037267,best_acc:0.5240683229813665
acc:0.5201863354037267,best_acc:0.5240683229813665
acc:0.5194099378881987,best_acc:0.5240683229813665
acc:0.5178571428571428,best_acc:0.5240683229813665
acc:0.5178571428571428,best_acc:0.5240683229813665
acc:0.5178571428571428,best_acc:0.5240683229813665
acc:0.5170807453416149,best_acc:0.5240683229813665
acc:0.5178571428571428,best_acc:0.5240683229813665
acc:0.5186335403726707,best_acc:0.5240683229813665
acc:0.5178571428571428,best_acc:0.5240683229813665
acc:0.5178571428571428,best_acc:0.5240683229813665
acc:0.5178571428571428,best_acc:0.5240683229813665
acc:0.5178571428571428,best_acc:0.5240683229813665
acc:0.5178571428571428,best_acc:0.5240683229813665
acc:0.5178571428571428,best_acc:0.5240683229813665
acc:0.5178571428571428,best_acc:0.5240683229813665
acc:0.5178571428571428,best_acc:0.5240683229813665
TEST:  acc:0.5326086956521738
