acc:0.22437888198757766,best_acc:0
acc:0.2577639751552795,best_acc:0.22437888198757766
acc:0.297360248447205,best_acc:0.2577639751552795
acc:0.297360248447205,best_acc:0.297360248447205
acc:0.33850931677018636,best_acc:0.297360248447205
acc:0.34627329192546585,best_acc:0.33850931677018636
acc:0.34627329192546585,best_acc:0.34627329192546585
acc:0.34627329192546585,best_acc:0.34627329192546585
acc:0.36801242236024845,best_acc:0.34627329192546585
acc:0.3695652173913043,best_acc:0.36801242236024845
acc:0.37577639751552794,best_acc:0.3695652173913043
acc:0.38975155279503104,best_acc:0.37577639751552794
acc:0.39285714285714285,best_acc:0.38975155279503104
acc:0.41537267080745344,best_acc:0.39285714285714285
acc:0.4184782608695652,best_acc:0.41537267080745344
acc:0.4332298136645963,best_acc:0.4184782608695652
acc:0.4285714285714286,best_acc:0.4332298136645963
acc:0.4231366459627329,best_acc:0.4332298136645963
acc:0.4200310559006211,best_acc:0.4332298136645963
acc:0.4200310559006211,best_acc:0.4332298136645963
acc:0.4169254658385093,best_acc:0.4332298136645963
acc:0.40527950310559,best_acc:0.4332298136645963
acc:0.4029503105590062,best_acc:0.4332298136645963
acc:0.3967391304347826,best_acc:0.4332298136645963
acc:0.39829192546583847,best_acc:0.4332298136645963
acc:0.39751552795031053,best_acc:0.4332298136645963
acc:0.39751552795031053,best_acc:0.4332298136645963
acc:0.39906832298136646,best_acc:0.4332298136645963
acc:0.4006211180124224,best_acc:0.4332298136645963
acc:0.4029503105590062,best_acc:0.4332298136645963
acc:0.4029503105590062,best_acc:0.4332298136645963
acc:0.40527950310559,best_acc:0.4332298136645963
acc:0.4045031055900621,best_acc:0.4332298136645963
acc:0.40683229813664595,best_acc:0.4332298136645963
acc:0.40683229813664595,best_acc:0.4332298136645963
acc:0.4052795031055901,best_acc:0.4332298136645963
acc:0.40372670807453415,best_acc:0.4332298136645963
acc:0.40217391304347827,best_acc:0.4332298136645963
acc:0.40372670807453415,best_acc:0.4332298136645963
acc:0.406055900621118,best_acc:0.4332298136645963
acc:0.4083850931677019,best_acc:0.4332298136645963
acc:0.4076086956521739,best_acc:0.4332298136645963
acc:0.40683229813664595,best_acc:0.4332298136645963
acc:0.40217391304347827,best_acc:0.4332298136645963
acc:0.4029503105590062,best_acc:0.4332298136645963
acc:0.40760869565217395,best_acc:0.4332298136645963
acc:0.406055900621118,best_acc:0.4332298136645963
acc:0.4052795031055901,best_acc:0.4332298136645963
acc:0.40527950310559,best_acc:0.4332298136645963
acc:0.3998447204968944,best_acc:0.4332298136645963
acc:0.3998447204968944,best_acc:0.4332298136645963
acc:0.40372670807453415,best_acc:0.4332298136645963
acc:0.40760869565217395,best_acc:0.4332298136645963
acc:0.40760869565217395,best_acc:0.4332298136645963
acc:0.4052795031055901,best_acc:0.4332298136645963
acc:0.40217391304347827,best_acc:0.4332298136645963
acc:0.4052795031055901,best_acc:0.4332298136645963
acc:0.4083850931677019,best_acc:0.4332298136645963
acc:0.4107142857142857,best_acc:0.4332298136645963
acc:0.406055900621118,best_acc:0.4332298136645963
acc:0.4091614906832298,best_acc:0.4332298136645963
acc:0.41304347826086957,best_acc:0.4332298136645963
acc:0.41304347826086957,best_acc:0.4332298136645963
acc:0.41304347826086957,best_acc:0.4332298136645963
acc:0.4138198757763975,best_acc:0.4332298136645963
acc:0.41149068322981364,best_acc:0.4332298136645963
acc:0.41381987577639756,best_acc:0.4332298136645963
acc:0.40993788819875776,best_acc:0.4332298136645963
acc:0.40993788819875776,best_acc:0.4332298136645963
acc:0.41304347826086957,best_acc:0.4332298136645963
acc:0.4169254658385093,best_acc:0.4332298136645963
acc:0.4200310559006211,best_acc:0.4332298136645963
acc:0.4231366459627329,best_acc:0.4332298136645963
acc:0.42391304347826086,best_acc:0.4332298136645963
acc:0.42391304347826086,best_acc:0.4332298136645963
acc:0.4231366459627329,best_acc:0.4332298136645963
acc:0.4246894409937888,best_acc:0.4332298136645963
acc:0.42624223602484473,best_acc:0.4332298136645963
acc:0.4246894409937888,best_acc:0.4332298136645963
acc:0.42158385093167705,best_acc:0.4332298136645963
acc:0.42158385093167705,best_acc:0.4332298136645963
acc:0.422360248447205,best_acc:0.4332298136645963
acc:0.42391304347826086,best_acc:0.4332298136645963
acc:0.4192546583850932,best_acc:0.4332298136645963
acc:0.41847826086956524,best_acc:0.4332298136645963
acc:0.41847826086956524,best_acc:0.4332298136645963
acc:0.4192546583850932,best_acc:0.4332298136645963
acc:0.4200310559006211,best_acc:0.4332298136645963
acc:0.4200310559006211,best_acc:0.4332298136645963
acc:0.42080745341614906,best_acc:0.4332298136645963
acc:0.42080745341614906,best_acc:0.4332298136645963
acc:0.42080745341614906,best_acc:0.4332298136645963
acc:0.42080745341614906,best_acc:0.4332298136645963
acc:0.42080745341614906,best_acc:0.4332298136645963
acc:0.42080745341614906,best_acc:0.4332298136645963
acc:0.42080745341614906,best_acc:0.4332298136645963
acc:0.42080745341614906,best_acc:0.4332298136645963
acc:0.42080745341614906,best_acc:0.4332298136645963
acc:0.42080745341614906,best_acc:0.4332298136645963
acc:0.42080745341614906,best_acc:0.4332298136645963
TEST:  acc:0.4324534161490683
