acc:0.2568493150684932,best_acc:0
acc:0.2636986301369863,best_acc:0.2568493150684932
acc:0.29337899543379,best_acc:0.2636986301369863
acc:0.29452054794520544,best_acc:0.29337899543379
acc:0.3047945205479452,best_acc:0.29452054794520544
acc:0.2659817351598174,best_acc:0.3047945205479452
acc:0.2317351598173516,best_acc:0.3047945205479452
acc:0.22945205479452052,best_acc:0.3047945205479452
acc:0.24771689497716892,best_acc:0.3047945205479452
acc:0.2682648401826484,best_acc:0.3047945205479452
acc:0.26027397260273977,best_acc:0.3047945205479452
acc:0.2602739726027397,best_acc:0.3047945205479452
acc:0.18036529680365296,best_acc:0.3047945205479452
acc:0.15753424657534246,best_acc:0.3047945205479452
acc:0.2191780821917808,best_acc:0.3047945205479452
acc:0.3002283105022831,best_acc:0.3047945205479452
acc:0.35159817351598177,best_acc:0.3047945205479452
acc:0.3584474885844749,best_acc:0.35159817351598177
acc:0.3926940639269406,best_acc:0.3584474885844749
acc:0.40753424657534243,best_acc:0.3926940639269406
acc:0.4052511415525114,best_acc:0.40753424657534243
acc:0.4178082191780822,best_acc:0.40753424657534243
acc:0.430365296803653,best_acc:0.4178082191780822
acc:0.4611872146118721,best_acc:0.430365296803653
acc:0.4737442922374429,best_acc:0.4611872146118721
acc:0.4908675799086758,best_acc:0.4737442922374429
acc:0.4954337899543379,best_acc:0.4908675799086758
acc:0.5011415525114156,best_acc:0.4954337899543379
acc:0.4965753424657534,best_acc:0.5011415525114156
acc:0.49200913242009137,best_acc:0.5011415525114156
acc:0.4931506849315069,best_acc:0.5011415525114156
acc:0.4920091324200913,best_acc:0.5011415525114156
acc:0.4942922374429224,best_acc:0.5011415525114156
acc:0.4942922374429224,best_acc:0.5011415525114156
acc:0.4885844748858448,best_acc:0.5011415525114156
acc:0.4885844748858448,best_acc:0.5011415525114156
acc:0.4885844748858448,best_acc:0.5011415525114156
acc:0.4885844748858448,best_acc:0.5011415525114156
acc:0.4942922374429224,best_acc:0.5011415525114156
acc:0.4965753424657534,best_acc:0.5011415525114156
acc:0.49885844748858443,best_acc:0.5011415525114156
acc:0.4977168949771689,best_acc:0.5011415525114156
acc:0.49885844748858443,best_acc:0.5011415525114156
acc:0.5136986301369862,best_acc:0.5011415525114156
acc:0.5136986301369862,best_acc:0.5136986301369862
acc:0.519406392694064,best_acc:0.5136986301369862
acc:0.5251141552511416,best_acc:0.519406392694064
acc:0.523972602739726,best_acc:0.5251141552511416
acc:0.523972602739726,best_acc:0.5251141552511416
acc:0.5262557077625571,best_acc:0.5251141552511416
acc:0.5353881278538812,best_acc:0.5262557077625571
acc:0.5410958904109588,best_acc:0.5353881278538812
acc:0.5445205479452055,best_acc:0.5410958904109588
acc:0.5376712328767124,best_acc:0.5445205479452055
acc:0.5331050228310502,best_acc:0.5445205479452055
acc:0.5399543378995434,best_acc:0.5445205479452055
acc:0.5331050228310503,best_acc:0.5445205479452055
acc:0.5308219178082192,best_acc:0.5445205479452055
acc:0.5296803652968036,best_acc:0.5445205479452055
acc:0.5251141552511416,best_acc:0.5445205479452055
acc:0.523972602739726,best_acc:0.5445205479452055
acc:0.5273972602739726,best_acc:0.5445205479452055
acc:0.5262557077625571,best_acc:0.5445205479452055
acc:0.5308219178082192,best_acc:0.5445205479452055
acc:0.5273972602739726,best_acc:0.5445205479452055
acc:0.5308219178082192,best_acc:0.5445205479452055
acc:0.5285388127853881,best_acc:0.5445205479452055
acc:0.5296803652968036,best_acc:0.5445205479452055
acc:0.5273972602739727,best_acc:0.5445205479452055
acc:0.5319634703196348,best_acc:0.5445205479452055
acc:0.5365296803652968,best_acc:0.5445205479452055
acc:0.5365296803652968,best_acc:0.5445205479452055
acc:0.5331050228310503,best_acc:0.5445205479452055
acc:0.5319634703196348,best_acc:0.5445205479452055
acc:0.5353881278538812,best_acc:0.5445205479452055
acc:0.5353881278538812,best_acc:0.5445205479452055
acc:0.5353881278538812,best_acc:0.5445205479452055
acc:0.5353881278538812,best_acc:0.5445205479452055
acc:0.5376712328767124,best_acc:0.5445205479452055
acc:0.5365296803652968,best_acc:0.5445205479452055
acc:0.5331050228310502,best_acc:0.5445205479452055
acc:0.5331050228310502,best_acc:0.5445205479452055
acc:0.5331050228310502,best_acc:0.5445205479452055
acc:0.5319634703196348,best_acc:0.5445205479452055
acc:0.5319634703196348,best_acc:0.5445205479452055
acc:0.5319634703196348,best_acc:0.5445205479452055
acc:0.5331050228310502,best_acc:0.5445205479452055
acc:0.5331050228310502,best_acc:0.5445205479452055
acc:0.5353881278538812,best_acc:0.5445205479452055
acc:0.5353881278538812,best_acc:0.5445205479452055
acc:0.5342465753424657,best_acc:0.5445205479452055
acc:0.5342465753424657,best_acc:0.5445205479452055
acc:0.5365296803652968,best_acc:0.5445205479452055
acc:0.5353881278538812,best_acc:0.5445205479452055
acc:0.5353881278538812,best_acc:0.5445205479452055
acc:0.5353881278538812,best_acc:0.5445205479452055
acc:0.5353881278538812,best_acc:0.5445205479452055
acc:0.5353881278538812,best_acc:0.5445205479452055
acc:0.5353881278538812,best_acc:0.5445205479452055
acc:0.5353881278538812,best_acc:0.5445205479452055
TEST:  acc:0.5422374429223744
