acc:0.4280898876404494,best_acc:0
acc:0.5,best_acc:0.4280898876404494
acc:0.4966292134831461,best_acc:0.5
acc:0.43820224719101125,best_acc:0.5
acc:0.352808988764045,best_acc:0.5
acc:0.2910112359550562,best_acc:0.5
acc:0.32696629213483147,best_acc:0.5
acc:0.3932584269662921,best_acc:0.5
acc:0.3932584269662921,best_acc:0.5
acc:0.3932584269662921,best_acc:0.5
acc:0.46179775280898877,best_acc:0.5
acc:0.5112359550561798,best_acc:0.5
acc:0.5314606741573034,best_acc:0.5112359550561798
acc:0.5426966292134832,best_acc:0.5314606741573034
acc:0.553932584269663,best_acc:0.5426966292134832
acc:0.5674157303370786,best_acc:0.553932584269663
acc:0.5876404494382023,best_acc:0.5674157303370786
acc:0.601123595505618,best_acc:0.5876404494382023
acc:0.6325842696629214,best_acc:0.601123595505618
acc:0.6528089887640449,best_acc:0.6325842696629214
acc:0.6629213483146067,best_acc:0.6528089887640449
acc:0.6685393258426966,best_acc:0.6629213483146067
acc:0.6696629213483146,best_acc:0.6685393258426966
acc:0.6786516853932585,best_acc:0.6696629213483146
acc:0.6786516853932585,best_acc:0.6786516853932585
acc:0.6764044943820224,best_acc:0.6786516853932585
acc:0.6808988764044943,best_acc:0.6786516853932585
acc:0.6865168539325843,best_acc:0.6808988764044943
acc:0.6820224719101124,best_acc:0.6865168539325843
acc:0.6786516853932585,best_acc:0.6865168539325843
acc:0.6786516853932585,best_acc:0.6865168539325843
acc:0.6764044943820224,best_acc:0.6865168539325843
acc:0.6797752808988764,best_acc:0.6865168539325843
acc:0.6786516853932585,best_acc:0.6865168539325843
acc:0.6797752808988764,best_acc:0.6865168539325843
acc:0.6741573033707866,best_acc:0.6865168539325843
acc:0.6820224719101123,best_acc:0.6865168539325843
acc:0.6786516853932585,best_acc:0.6865168539325843
acc:0.6865168539325843,best_acc:0.6865168539325843
acc:0.6887640449438202,best_acc:0.6865168539325843
acc:0.6955056179775281,best_acc:0.6887640449438202
acc:0.698876404494382,best_acc:0.6955056179775281
acc:0.696629213483146,best_acc:0.698876404494382
acc:0.696629213483146,best_acc:0.698876404494382
acc:0.6955056179775281,best_acc:0.698876404494382
acc:0.6955056179775281,best_acc:0.698876404494382
acc:0.7,best_acc:0.698876404494382
acc:0.7033707865168539,best_acc:0.7
acc:0.701123595505618,best_acc:0.7033707865168539
acc:0.7,best_acc:0.7033707865168539
acc:0.7,best_acc:0.7033707865168539
acc:0.7112359550561798,best_acc:0.7033707865168539
acc:0.7089887640449438,best_acc:0.7112359550561798
acc:0.7101123595505618,best_acc:0.7112359550561798
acc:0.7101123595505618,best_acc:0.7112359550561798
acc:0.7078651685393258,best_acc:0.7112359550561798
acc:0.7033707865168539,best_acc:0.7112359550561798
acc:0.697752808988764,best_acc:0.7112359550561798
acc:0.698876404494382,best_acc:0.7112359550561798
acc:0.7089887640449438,best_acc:0.7112359550561798
acc:0.70561797752809,best_acc:0.7112359550561798
acc:0.7078651685393258,best_acc:0.7112359550561798
acc:0.7089887640449438,best_acc:0.7112359550561798
acc:0.7101123595505618,best_acc:0.7112359550561798
acc:0.7123595505617978,best_acc:0.7112359550561798
acc:0.7112359550561798,best_acc:0.7123595505617978
acc:0.7134831460674158,best_acc:0.7123595505617978
acc:0.7112359550561798,best_acc:0.7134831460674158
acc:0.7101123595505618,best_acc:0.7134831460674158
acc:0.7089887640449438,best_acc:0.7134831460674158
acc:0.7078651685393258,best_acc:0.7134831460674158
acc:0.7089887640449438,best_acc:0.7134831460674158
acc:0.7112359550561798,best_acc:0.7134831460674158
acc:0.7078651685393258,best_acc:0.7134831460674158
acc:0.70561797752809,best_acc:0.7134831460674158
acc:0.7044943820224719,best_acc:0.7134831460674158
acc:0.7067415730337079,best_acc:0.7134831460674158
acc:0.7101123595505618,best_acc:0.7134831460674158
acc:0.7157303370786516,best_acc:0.7134831460674158
acc:0.7191011235955056,best_acc:0.7157303370786516
acc:0.7202247191011235,best_acc:0.7191011235955056
acc:0.7202247191011235,best_acc:0.7202247191011235
acc:0.7213483146067415,best_acc:0.7202247191011235
acc:0.7191011235955056,best_acc:0.7213483146067415
acc:0.7134831460674158,best_acc:0.7213483146067415
acc:0.7134831460674158,best_acc:0.7213483146067415
acc:0.7134831460674158,best_acc:0.7213483146067415
acc:0.7146067415730337,best_acc:0.7213483146067415
acc:0.7134831460674157,best_acc:0.7213483146067415
acc:0.7112359550561798,best_acc:0.7213483146067415
acc:0.7123595505617977,best_acc:0.7213483146067415
acc:0.7123595505617977,best_acc:0.7213483146067415
acc:0.7134831460674157,best_acc:0.7213483146067415
acc:0.7134831460674157,best_acc:0.7213483146067415
acc:0.7146067415730337,best_acc:0.7213483146067415
acc:0.7146067415730337,best_acc:0.7213483146067415
acc:0.7146067415730337,best_acc:0.7213483146067415
acc:0.7157303370786516,best_acc:0.7213483146067415
acc:0.7157303370786516,best_acc:0.7213483146067415
acc:0.7157303370786516,best_acc:0.7213483146067415
TEST:  acc:0.6651685393258426
