acc:0.25993816254416957,best_acc:0
acc:0.2439487632508834,best_acc:0.25993816254416957
acc:0.23626325088339223,best_acc:0.25993816254416957
acc:0.2267226148409894,best_acc:0.25993816254416957
acc:0.218065371024735,best_acc:0.25993816254416957
acc:0.2196554770318021,best_acc:0.25993816254416957
acc:0.21952296819787986,best_acc:0.25993816254416957
acc:0.2241166077738516,best_acc:0.25993816254416957
acc:0.2149293286219081,best_acc:0.25993816254416957
acc:0.2113957597173145,best_acc:0.25993816254416957
acc:0.20415194346289753,best_acc:0.25993816254416957
acc:0.20216431095406362,best_acc:0.25993816254416957
acc:0.18864840989399295,best_acc:0.25993816254416957
acc:0.19165194346289754,best_acc:0.25993816254416957
acc:0.18348056537102472,best_acc:0.25993816254416957
acc:0.18264134275618374,best_acc:0.25993816254416957
acc:0.19037102473498235,best_acc:0.25993816254416957
acc:0.1786660777385159,best_acc:0.25993816254416957
acc:0.17142226148409895,best_acc:0.25993816254416957
acc:0.17919611307420497,best_acc:0.25993816254416957
acc:0.1717314487632509,best_acc:0.25993816254416957
acc:0.18246466431095407,best_acc:0.25993816254416957
acc:0.17787102473498234,best_acc:0.25993816254416957
acc:0.17769434628975267,best_acc:0.25993816254416957
acc:0.17663427561837455,best_acc:0.25993816254416957
acc:0.16824204946996466,best_acc:0.25993816254416957
acc:0.18498233215547705,best_acc:0.25993816254416957
acc:0.18719081272084806,best_acc:0.25993816254416957
acc:0.15649293286219082,best_acc:0.25993816254416957
acc:0.16143992932862192,best_acc:0.25993816254416957
acc:0.1601148409893993,best_acc:0.25993816254416957
acc:0.16987632508833922,best_acc:0.25993816254416957
acc:0.16987632508833922,best_acc:0.25993816254416957
acc:0.16691696113074206,best_acc:0.25993816254416957
acc:0.1616166077738516,best_acc:0.25993816254416957
acc:0.1515459363957597,best_acc:0.25993816254416957
acc:0.15432862190812718,best_acc:0.25993816254416957
acc:0.15618374558303888,best_acc:0.25993816254416957
acc:0.15852473498233216,best_acc:0.25993816254416957
acc:0.1571113074204947,best_acc:0.25993816254416957
acc:0.15424028268551238,best_acc:0.25993816254416957
acc:0.15918727915194347,best_acc:0.25993816254416957
acc:0.1659452296819788,best_acc:0.25993816254416957
acc:0.14598056537102472,best_acc:0.25993816254416957
acc:0.15273851590106008,best_acc:0.25993816254416957
acc:0.1666077738515901,best_acc:0.25993816254416957
acc:0.17234982332155477,best_acc:0.25993816254416957
acc:0.16298586572438162,best_acc:0.25993816254416957
acc:0.1572879858657244,best_acc:0.25993816254416957
acc:0.15706713780918727,best_acc:0.25993816254416957
acc:0.1672703180212014,best_acc:0.25993816254416957
acc:0.16391342756183747,best_acc:0.25993816254416957
acc:0.17040636042402826,best_acc:0.25993816254416957
acc:0.15697879858657243,best_acc:0.25993816254416957
acc:0.16135159010600708,best_acc:0.25993816254416957
acc:0.14637809187279152,best_acc:0.25993816254416957
acc:0.15574204946996467,best_acc:0.25993816254416957
acc:0.15852473498233216,best_acc:0.25993816254416957
acc:0.1534893992932862,best_acc:0.25993816254416957
acc:0.1514575971731449,best_acc:0.25993816254416957
acc:0.16453180212014135,best_acc:0.25993816254416957
acc:0.15309187279151942,best_acc:0.25993816254416957
acc:0.16139575971731449,best_acc:0.25993816254416957
acc:0.15203180212014133,best_acc:0.25993816254416957
acc:0.14319787985865723,best_acc:0.25993816254416957
acc:0.1540636042402827,best_acc:0.25993816254416957
acc:0.15472614840989402,best_acc:0.25993816254416957
acc:0.15273851590106008,best_acc:0.25993816254416957
acc:0.1457155477031802,best_acc:0.25993816254416957
acc:0.15446113074204948,best_acc:0.25993816254416957
acc:0.14986749116607773,best_acc:0.25993816254416957
acc:0.14633392226148412,best_acc:0.25993816254416957
acc:0.16325088339222615,best_acc:0.25993816254416957
acc:0.1541519434628975,best_acc:0.25993816254416957
acc:0.15353356890459363,best_acc:0.25993816254416957
acc:0.155565371024735,best_acc:0.25993816254416957
acc:0.1564487632508834,best_acc:0.25993816254416957
acc:0.16042402826855123,best_acc:0.25993816254416957
acc:0.16126325088339222,best_acc:0.25993816254416957
acc:0.1497791519434629,best_acc:0.25993816254416957
