acc:0.20186335403726707,best_acc:0
acc:0.23136645962732919,best_acc:0.20186335403726707
acc:0.22748447204968944,best_acc:0.23136645962732919
acc:0.27251552795031053,best_acc:0.23136645962732919
acc:0.3470496894409938,best_acc:0.27251552795031053
acc:0.4192546583850931,best_acc:0.3470496894409938
acc:0.43788819875776397,best_acc:0.4192546583850931
acc:0.4464285714285714,best_acc:0.43788819875776397
acc:0.44565217391304346,best_acc:0.4464285714285714
acc:0.4417701863354037,best_acc:0.4464285714285714
acc:0.4425465838509317,best_acc:0.4464285714285714
acc:0.43711180124223603,best_acc:0.4464285714285714
acc:0.43711180124223603,best_acc:0.4464285714285714
acc:0.4324534161490683,best_acc:0.4464285714285714
acc:0.4285714285714286,best_acc:0.4464285714285714
acc:0.42779503105590067,best_acc:0.4464285714285714
acc:0.4285714285714286,best_acc:0.4464285714285714
acc:0.4277950310559006,best_acc:0.4464285714285714
acc:0.42546583850931674,best_acc:0.4464285714285714
acc:0.4246894409937888,best_acc:0.4464285714285714
acc:0.4231366459627329,best_acc:0.4464285714285714
acc:0.42158385093167705,best_acc:0.4464285714285714
acc:0.42080745341614906,best_acc:0.4464285714285714
acc:0.4192546583850932,best_acc:0.4464285714285714
acc:0.41537267080745344,best_acc:0.4464285714285714
acc:0.41381987577639756,best_acc:0.4464285714285714
acc:0.41226708074534163,best_acc:0.4464285714285714
acc:0.40993788819875776,best_acc:0.4464285714285714
acc:0.4122670807453416,best_acc:0.4464285714285714
acc:0.41149068322981364,best_acc:0.4464285714285714
acc:0.41304347826086957,best_acc:0.4464285714285714
acc:0.41149068322981364,best_acc:0.4464285714285714
acc:0.40993788819875776,best_acc:0.4464285714285714
acc:0.40760869565217395,best_acc:0.4464285714285714
acc:0.40760869565217395,best_acc:0.4464285714285714
acc:0.40683229813664595,best_acc:0.4464285714285714
acc:0.406055900621118,best_acc:0.4464285714285714
acc:0.40372670807453415,best_acc:0.4464285714285714
acc:0.4029503105590062,best_acc:0.4464285714285714
acc:0.4029503105590062,best_acc:0.4464285714285714
acc:0.40217391304347827,best_acc:0.4464285714285714
acc:0.39751552795031053,best_acc:0.4464285714285714
acc:0.39751552795031053,best_acc:0.4464285714285714
acc:0.39829192546583847,best_acc:0.4464285714285714
acc:0.39751552795031053,best_acc:0.4464285714285714
acc:0.3967391304347826,best_acc:0.4464285714285714
acc:0.39596273291925466,best_acc:0.4464285714285714
acc:0.39596273291925466,best_acc:0.4464285714285714
acc:0.39596273291925466,best_acc:0.4464285714285714
acc:0.39596273291925466,best_acc:0.4464285714285714
acc:0.39596273291925466,best_acc:0.4464285714285714
acc:0.3936335403726708,best_acc:0.4464285714285714
acc:0.39285714285714285,best_acc:0.4464285714285714
acc:0.3913043478260869,best_acc:0.4464285714285714
acc:0.39285714285714285,best_acc:0.4464285714285714
acc:0.39363354037267084,best_acc:0.4464285714285714
acc:0.390527950310559,best_acc:0.4464285714285714
acc:0.38975155279503104,best_acc:0.4464285714285714
acc:0.390527950310559,best_acc:0.4464285714285714
acc:0.38975155279503104,best_acc:0.4464285714285714
acc:0.38819875776397517,best_acc:0.4464285714285714
acc:0.38975155279503104,best_acc:0.4464285714285714
acc:0.38975155279503104,best_acc:0.4464285714285714
acc:0.38975155279503104,best_acc:0.4464285714285714
acc:0.38975155279503104,best_acc:0.4464285714285714
acc:0.390527950310559,best_acc:0.4464285714285714
acc:0.391304347826087,best_acc:0.4464285714285714
acc:0.391304347826087,best_acc:0.4464285714285714
acc:0.38975155279503104,best_acc:0.4464285714285714
acc:0.38819875776397517,best_acc:0.4464285714285714
acc:0.38742236024844723,best_acc:0.4464285714285714
acc:0.3866459627329193,best_acc:0.4464285714285714
acc:0.3866459627329193,best_acc:0.4464285714285714
acc:0.3858695652173913,best_acc:0.4464285714285714
acc:0.3858695652173913,best_acc:0.4464285714285714
acc:0.3866459627329193,best_acc:0.4464285714285714
acc:0.3858695652173913,best_acc:0.4464285714285714
acc:0.3858695652173913,best_acc:0.4464285714285714
acc:0.3858695652173913,best_acc:0.4464285714285714
acc:0.3850931677018633,best_acc:0.4464285714285714
acc:0.3858695652173913,best_acc:0.4464285714285714
acc:0.3858695652173913,best_acc:0.4464285714285714
acc:0.3858695652173913,best_acc:0.4464285714285714
acc:0.38431677018633537,best_acc:0.4464285714285714
acc:0.38431677018633537,best_acc:0.4464285714285714
acc:0.38431677018633537,best_acc:0.4464285714285714
acc:0.38431677018633537,best_acc:0.4464285714285714
acc:0.38431677018633537,best_acc:0.4464285714285714
acc:0.38354037267080743,best_acc:0.4464285714285714
acc:0.38431677018633537,best_acc:0.4464285714285714
acc:0.38431677018633537,best_acc:0.4464285714285714
acc:0.38431677018633537,best_acc:0.4464285714285714
acc:0.38431677018633537,best_acc:0.4464285714285714
acc:0.38431677018633537,best_acc:0.4464285714285714
acc:0.38431677018633537,best_acc:0.4464285714285714
acc:0.38431677018633537,best_acc:0.4464285714285714
acc:0.38431677018633537,best_acc:0.4464285714285714
acc:0.38431677018633537,best_acc:0.4464285714285714
acc:0.38431677018633537,best_acc:0.4464285714285714
acc:0.38431677018633537,best_acc:0.4464285714285714
TEST:  acc:0.44021739130434784
