acc:0.3775280898876404,best_acc:0
acc:0.4382022471910112,best_acc:0.3775280898876404
acc:0.38202247191011235,best_acc:0.4382022471910112
acc:0.3056179775280899,best_acc:0.4382022471910112
acc:0.3056179775280899,best_acc:0.4382022471910112
acc:0.3056179775280899,best_acc:0.4382022471910112
acc:0.2640449438202247,best_acc:0.4382022471910112
acc:0.2640449438202247,best_acc:0.4382022471910112
acc:0.22696629213483147,best_acc:0.4382022471910112
acc:0.22696629213483147,best_acc:0.4382022471910112
acc:0.22247191011235956,best_acc:0.4382022471910112
acc:0.22247191011235956,best_acc:0.4382022471910112
acc:0.24719101123595505,best_acc:0.4382022471910112
acc:0.298876404494382,best_acc:0.4382022471910112
acc:0.42471910112359545,best_acc:0.4382022471910112
acc:0.5022471910112359,best_acc:0.4382022471910112
acc:0.5595505617977528,best_acc:0.5022471910112359
acc:0.5808988764044944,best_acc:0.5595505617977528
acc:0.5842696629213484,best_acc:0.5808988764044944
acc:0.5966292134831461,best_acc:0.5842696629213484
acc:0.6056179775280899,best_acc:0.5966292134831461
acc:0.6112359550561798,best_acc:0.6056179775280899
acc:0.6089887640449438,best_acc:0.6112359550561798
acc:0.6112359550561798,best_acc:0.6112359550561798
acc:0.6179775280898876,best_acc:0.6112359550561798
acc:0.6168539325842697,best_acc:0.6179775280898876
acc:0.6146067415730336,best_acc:0.6179775280898876
acc:0.6168539325842697,best_acc:0.6179775280898876
acc:0.6146067415730337,best_acc:0.6179775280898876
acc:0.6112359550561797,best_acc:0.6179775280898876
acc:0.6123595505617978,best_acc:0.6179775280898876
acc:0.6101123595505618,best_acc:0.6179775280898876
acc:0.6089887640449438,best_acc:0.6179775280898876
acc:0.6089887640449438,best_acc:0.6179775280898876
acc:0.6078651685393259,best_acc:0.6179775280898876
acc:0.6078651685393259,best_acc:0.6179775280898876
acc:0.604494382022472,best_acc:0.6179775280898876
acc:0.6033707865168539,best_acc:0.6179775280898876
acc:0.6033707865168539,best_acc:0.6179775280898876
acc:0.601123595505618,best_acc:0.6179775280898876
acc:0.601123595505618,best_acc:0.6179775280898876
acc:0.6022471910112359,best_acc:0.6179775280898876
acc:0.601123595505618,best_acc:0.6179775280898876
acc:0.597752808988764,best_acc:0.6179775280898876
acc:0.5966292134831461,best_acc:0.6179775280898876
acc:0.597752808988764,best_acc:0.6179775280898876
acc:0.5966292134831461,best_acc:0.6179775280898876
acc:0.5966292134831461,best_acc:0.6179775280898876
acc:0.597752808988764,best_acc:0.6179775280898876
acc:0.597752808988764,best_acc:0.6179775280898876
acc:0.598876404494382,best_acc:0.6179775280898876
acc:0.5966292134831461,best_acc:0.6179775280898876
acc:0.5966292134831461,best_acc:0.6179775280898876
acc:0.597752808988764,best_acc:0.6179775280898876
acc:0.6000000000000001,best_acc:0.6179775280898876
acc:0.5988764044943821,best_acc:0.6179775280898876
acc:0.598876404494382,best_acc:0.6179775280898876
acc:0.598876404494382,best_acc:0.6179775280898876
acc:0.597752808988764,best_acc:0.6179775280898876
acc:0.5966292134831461,best_acc:0.6179775280898876
acc:0.595505617977528,best_acc:0.6179775280898876
acc:0.5988764044943821,best_acc:0.6179775280898876
acc:0.6000000000000001,best_acc:0.6179775280898876
acc:0.597752808988764,best_acc:0.6179775280898876
acc:0.597752808988764,best_acc:0.6179775280898876
acc:0.5966292134831461,best_acc:0.6179775280898876
acc:0.5966292134831461,best_acc:0.6179775280898876
acc:0.5955056179775281,best_acc:0.6179775280898876
acc:0.5955056179775281,best_acc:0.6179775280898876
acc:0.5955056179775281,best_acc:0.6179775280898876
acc:0.5921348314606742,best_acc:0.6179775280898876
acc:0.5921348314606742,best_acc:0.6179775280898876
acc:0.5932584269662922,best_acc:0.6179775280898876
acc:0.5943820224719101,best_acc:0.6179775280898876
acc:0.5898876404494382,best_acc:0.6179775280898876
acc:0.5898876404494382,best_acc:0.6179775280898876
acc:0.5898876404494382,best_acc:0.6179775280898876
acc:0.5898876404494382,best_acc:0.6179775280898876
acc:0.5898876404494382,best_acc:0.6179775280898876
acc:0.5887640449438203,best_acc:0.6179775280898876
acc:0.5887640449438203,best_acc:0.6179775280898876
acc:0.5887640449438203,best_acc:0.6179775280898876
acc:0.5887640449438203,best_acc:0.6179775280898876
acc:0.5887640449438203,best_acc:0.6179775280898876
acc:0.5887640449438203,best_acc:0.6179775280898876
acc:0.5887640449438203,best_acc:0.6179775280898876
acc:0.5876404494382022,best_acc:0.6179775280898876
acc:0.5876404494382022,best_acc:0.6179775280898876
acc:0.5876404494382022,best_acc:0.6179775280898876
acc:0.5876404494382022,best_acc:0.6179775280898876
acc:0.5876404494382022,best_acc:0.6179775280898876
acc:0.5865168539325842,best_acc:0.6179775280898876
acc:0.5865168539325842,best_acc:0.6179775280898876
acc:0.5865168539325842,best_acc:0.6179775280898876
acc:0.5865168539325842,best_acc:0.6179775280898876
acc:0.5865168539325842,best_acc:0.6179775280898876
acc:0.5865168539325842,best_acc:0.6179775280898876
acc:0.5853932584269663,best_acc:0.6179775280898876
acc:0.5853932584269663,best_acc:0.6179775280898876
acc:0.5865168539325842,best_acc:0.6179775280898876
TEST:  acc:0.5865168539325842
